Year,ID,YoD
1980,C04,1984
1980,A10,1984
1980,A02,1988
1980,G30,1989
1980,G18,1989
1980,G12,1989
1980,D03,1991
1980,A09,1991
1980,A14,1991
1980,I07,1993
1980,A53,1993
1980,I02,1994
1980,G24,1994
1980,I31,1995
1980,C05,1997
1980,I01,1997
1980,A25,1997
1980,A48,1997
1980,A57,1997
1980,A36,1998
1980,G16,1998
1980,R09,2000
1980,D07,2000
1980,H06,2000
1980,A23,2000
1980,I18,2000
1980,H03,2000
1980,R20,2000
1980,I38,2000
1980,G17,2001
1980,A08,2001
1980,G08,2001
1980,A45,2001
1980,I36,2002
1980,R02,2005
1980,G04,2006
1980,I15,2006
1980,D08,2006
1980,A59,2006
1980,C21,2007
1980,D15,2008
1980,I80,2008
1980,R07,2009
1980,G25,2009
1980,H08,2009
1980,G23,2011
1980,A51,2011
1980,A12,2012
1980,A28,2012
1980,A30,2013
1980,I11,2013
1980,C06,2013
1980,A11,2013
1980,A24,2013
1980,G29,2013
1980,G34,2013
1980,D10,2013
1980,C19,2013
1980,I82,2014
1980,I19,2015
1980,I63,2015
1980,W03,2017
1980,G49,2017
1980,B07,NA
1980,R05,NA
1980,G03,NA
1980,I17,NA
1980,G02,NA
1980,I20,NA
1980,R04,NA
1980,I22,NA
1980,R18,NA
1980,I16,NA
1980,R17,NA
1980,I12,NA
1980,I33,NA
1980,C10,NA
1980,D09,NA
1980,G20,NA
1980,H05,NA
1980,G27,NA
1980,A35,NA
1980,I13,NA
1980,I27,NA
1980,I35,NA
1980,A34,NA
1980,C08,NA
1980,D11,NA
1980,I26,NA
1980,G22,NA
1980,I21,NA
1980,R13,NA
1980,A42,NA
1980,I04,NA
1980,I24,NA
1980,I40,NA
1980,A43,NA
1980,G31,NA
1980,D12,NA
1980,I50,NA
1980,I54,NA
1980,A50,NA
1980,D13,NA
1980,G37,NA
1980,R22,NA
1980,C13,NA
1980,R23,NA
1980,I51,NA
1980,A52,NA
1980,G41,NA
1980,R24,NA
1980,H09,NA
1980,A54,NA
1980,I57,NA
1980,A56,NA
1980,D17,NA
1980,G48,NA
1980,I65,NA
1980,B14,NA
1980,G46,NA
1980,G50,NA
1980,I68,NA
1980,I69,NA
1980,G51,NA
1980,G52,NA
1980,I71,NA
1980,A62,NA
1980,G53,NA
1980,G54,NA
1980,R29,NA
1980,A64,NA
1980,G58,NA
1980,A67,NA
1980,A69,NA
1980,I83,NA
1980,C23,NA
1980,D19,NA
1980,R35,NA
1980,A70,NA
1980,A72,NA
1980,D20,NA
1980,G62,NA
1980,G63,NA
1980,I90,NA
1980,I92,NA
1980,R38,NA
1980,A73,NA
1980,G64,NA
1980,G65,NA
1980,G69,NA
1980,R39,NA
1980,R40,NA
1980,A75,NA
1980,H12,NA
1980,I104,NA
1980,I96,NA
1980,R41,NA
1980,I100,NA
1980,I99,NA
1980,C26,NA
1980,R48,NA
1980,G82,NA
1980,A88,NA
1980,R52,NA
1980,A96,NA
1980,G95,NA
1981,C04,1984
1981,A10,1984
1981,A02,1988
1981,G30,1989
1981,G18,1989
1981,G12,1989
1981,D03,1991
