"","ID","Year","YoD","YoB","Calved","Age"
"1","A02",1982,1988,1929,0,53
"2","A02",1981,1988,1929,0,52
"3","A02",1985,1988,1929,0,56
"4","A02",1983,1988,1929,0,54
"5","A02",1986,1988,1929,0,57
"6","A02",1980,1988,1929,0,51
"7","A02",1987,1988,1929,0,58
"8","A02",1984,1988,1929,0,55
"10","A08",1990,2001,1959,0,31
"11","A08",1989,2001,1959,0,30
"12","A08",1983,2001,1959,0,24
"13","A08",1997,2001,1959,0,38
"14","A08",2000,2001,1959,0,41
"15","A08",1985,2001,1959,0,26
"16","A08",1984,2001,1959,0,25
"17","A08",1996,2001,1959,0,37
"18","A08",1988,2001,1959,0,29
"19","A08",1999,2001,1959,0,40
"20","A08",1995,2001,1959,0,36
"21","A08",1993,2001,1959,0,34
"22","A08",1980,2001,1959,1,21
"23","A08",1986,2001,1959,0,27
"24","A08",1991,2001,1959,0,32
"25","A08",1982,2001,1959,0,23
"26","A08",1992,2001,1959,0,33
"27","A08",1998,2001,1959,0,39
"28","A08",1994,2001,1959,0,35
"29","A08",1987,2001,1959,0,28
"30","A09",1981,1991,1942,0,39
"31","A09",1982,1991,1942,0,40
"32","A09",1990,1991,1942,0,48
"33","A09",1989,1991,1942,0,47
"34","A09",1985,1991,1942,0,43
"35","A09",1988,1991,1942,0,46
"36","A09",1983,1991,1942,0,41
"37","A09",1987,1991,1942,0,45
"38","A09",1980,1991,1942,0,38
"39","A09",1986,1991,1942,0,44
"40","A09",1984,1991,1942,0,42
"42","A10",1981,1984,1942,0,39
"43","A10",1980,1984,1942,0,38
"44","A10",1983,1984,1942,1,41
"45","A11",2006,2013,1959,0,47
"46","A11",2012,2013,1959,0,53
"47","A11",1986,2013,1959,0,27
"48","A11",2011,2013,1959,0,52
"50","A11",1997,2013,1959,0,38
"51","A11",1985,2013,1959,0,26
"53","A11",2004,2013,1959,0,45
"54","A11",2007,2013,1959,0,48
"55","A11",1992,2013,1959,0,33
"56","A11",2008,2013,1959,0,49
"57","A11",2005,2013,1959,0,46
"58","A11",1987,2013,1959,0,28
"59","A11",1993,2013,1959,0,34
"61","A11",2001,2013,1959,0,42
"62","A11",1994,2013,1959,0,35
"63","A11",1981,2013,1959,0,22
"65","A11",1990,2013,1959,1,31
"66","A11",2000,2013,1959,0,41
"67","A11",1980,2013,1959,0,21
"68","A11",1999,2013,1959,0,40
"69","A11",2009,2013,1959,0,50
"70","A11",2010,2013,1959,0,51
"71","A11",1995,2013,1959,0,36
"72","A11",1988,2013,1959,0,29
"73","A11",1996,2013,1959,0,37
"74","A11",1983,2013,1959,1,24
"75","A11",1998,2013,1959,0,39
"76","A11",2003,2013,1959,0,44
"77","A11",2002,2013,1959,0,43
"78","A12",2005,2012,1943,0,62
"79","A12",1987,2012,1943,0,44
"80","A12",2000,2012,1943,0,57
"81","A12",1988,2012,1943,0,45
"82","A12",1992,2012,1943,0,49
"83","A12",1995,2012,1943,0,52
"84","A12",1993,2012,1943,0,50
"85","A12",1998,2012,1943,0,55
"86","A12",1986,2012,1943,0,43
"87","A12",1991,2012,1943,0,48
"88","A12",1981,2012,1943,0,38
"89","A12",2011,2012,1943,0,68
"90","A12",2004,2012,1943,0,61
"91","A12",1982,2012,1943,0,39
"92","A12",1984,2012,1943,0,41
"93","A12",2008,2012,1943,0,65
"94","A12",2003,2012,1943,0,60
"95","A12",1989,2012,1943,0,46
"96","A12",2009,2012,1943,0,66
"97","A12",1996,2012,1943,0,53
"98","A12",1985,2012,1943,0,42
"99","A12",1983,2012,1943,0,40
"100","A12",1997,2012,1943,0,54
"101","A12",1999,2012,1943,0,56
"102","A12",2001,2012,1943,0,58
"103","A12",1990,2012,1943,0,47
"104","A12",1980,2012,1943,0,37
"105","A12",2002,2012,1943,0,59
"106","A12",2010,2012,1943,0,67
"107","A12",2006,2012,1943,0,63
"108","A12",2007,2012,1943,0,64
"109","A12",1994,2012,1943,0,51
"110","A14",1990,1991,1948,0,42
"111","A14",1983,1991,1948,0,35
"112","A14",1986,1991,1948,0,38
"113","A14",1981,1991,1948,0,33
"114","A14",1988,1991,1948,0,40
"115","A14",1987,1991,1948,0,39
"116","A14",1982,1991,1948,0,34
"118","A14",1985,1991,1948,0,37
"119","A14",1984,1991,1948,0,36
"120","A14",1989,1991,1948,0,41
"121","A23",1988,2000,1948,0,40
"122","A23",1995,2000,1948,0,47
"123","A23",1987,2000,1948,0,39
"124","A23",1997,2000,1948,0,49
"125","A23",1998,2000,1948,0,50
"127","A23",1994,2000,1948,0,46
"128","A23",1986,2000,1948,0,38
"130","A23",1989,2000,1948,0,41
"131","A23",1983,2000,1948,0,35
"132","A23",1990,2000,1948,0,42
"133","A23",1985,2000,1948,0,37
"135","A23",1992,2000,1948,1,44
"136","A23",1984,2000,1948,0,36
"137","A23",1996,2000,1948,0,48
"139","A23",1999,2000,1948,0,51
"140","A23",1981,2000,1948,1,33
"141","A24",2006,2013,1967,0,39
"142","A24",1997,2013,1967,0,30
"143","A24",2011,2013,1967,0,44
"145","A24",2012,2013,1967,0,45
"146","A24",1999,2013,1967,1,32
"148","A24",1992,2013,1967,1,25
"149","A24",1981,2013,1967,1,14
"150","A24",2007,2013,1967,0,40
"151","A24",1990,2013,1967,0,23
"153","A24",1985,2013,1967,1,18
"156","A24",1988,2013,1967,1,21
"158","A24",2009,2013,1967,1,42
"159","A24",2001,2013,1967,0,34
"161","A24",1998,2013,1967,0,31
"164","A24",2005,2013,1967,0,38
"165","A24",1983,2013,1967,1,16
"167","A24",2000,2013,1967,0,33
"171","A24",1995,2013,1967,1,28
"173","A24",2003,2013,1967,1,36
"175","A25",1991,1997,1971.5,0,19.5
"176","A25",1990,1997,1971.5,0,18.5
"177","A25",1983,1997,1971.5,0,11.5
"178","A25",1988,1997,1971.5,0,16.5
"180","A25",1996,1997,1971.5,0,24.5
"181","A25",1981,1997,1971.5,0,9.5
"183","A25",1984,1997,1971.5,0,12.5
"184","A25",1989,1997,1971.5,0,17.5
"185","A25",1982,1997,1971.5,0,10.5
"186","A25",1980,1997,1971.5,0,8.5
"187","A25",1986,1997,1971.5,1,14.5
"189","A25",1994,1997,1971.5,1,22.5
"190","A25",1992,1997,1971.5,0,20.5
"191","A28",1995,2012,1974,0,21
"192","A28",1992,2012,1974,0,18
"193","A28",2005,2012,1974,0,31
"194","A28",1987,2012,1974,0,13
"195","A28",1989,2012,1974,0,15
"196","A28",1991,2012,1974,0,17
"197","A28",1988,2012,1974,0,14
"198","A28",1986,2012,1974,0,12
"199","A28",2007,2012,1974,0,33
"200","A28",2011,2012,1974,0,37
"201","A28",1998,2012,1974,0,24
"202","A28",2004,2012,1974,0,30
"203","A28",2010,2012,1974,0,36
"204","A28",1982,2012,1974,0,8
"205","A28",2000,2012,1974,0,26
"207","A28",2003,2012,1974,0,29
"208","A28",1985,2012,1974,0,11
"209","A28",1993,2012,1974,0,19
"210","A28",2009,2012,1974,0,35
"211","A28",1997,2012,1974,0,23
"212","A28",1984,2012,1974,0,10
"213","A28",1999,2012,1974,0,25
"214","A28",1983,2012,1974,0,9
"215","A28",2006,2012,1974,0,32
"217","A28",2008,2012,1974,0,34
"218","A28",1990,2012,1974,0,16
"219","A28",1994,2012,1974,0,20
"220","A28",1996,2012,1974,0,22
"221","A28",2001,2012,1974,0,27
"222","A28",2002,2012,1974,0,28
"223","A30",1987,2013,1949,0,38
"224","A30",2005,2013,1949,0,56
"225","A30",1989,2013,1949,1,40
"226","A30",2004,2013,1949,0,55
"227","A30",1986,2013,1949,0,37
"229","A30",1998,2013,1949,0,49
"230","A30",2007,2013,1949,0,58
"232","A30",1995,2013,1949,0,46
"233","A30",1981,2013,1949,1,32
"234","A30",2006,2013,1949,0,57
"235","A30",2008,2013,1949,0,59
"236","A30",1992,2013,1949,0,43
"238","A30",1991,2013,1949,0,42
"239","A30",2011,2013,1949,0,62
"240","A30",2010,2013,1949,0,61
"242","A30",2000,2013,1949,0,51
"244","A30",2009,2013,1949,0,60
"245","A30",2001,2013,1949,0,52
"246","A30",1999,2013,1949,0,50
"247","A30",1997,2013,1949,0,48
"248","A30",1993,2013,1949,0,44
"249","A30",1984,2013,1949,1,35
"250","A30",2002,2013,1949,0,53
"251","A30",1996,2013,1949,0,47
"252","A30",2003,2013,1949,0,54
"254","A30",1994,2013,1949,0,45
"255","A30",2012,2013,1949,0,63
"256","A34",2017,NA,1975,0,42
"257","A34",2004,NA,1975,1,29
"259","A34",2013,NA,1975,0,38
"262","A34",1999,NA,1975,0,24
"264","A34",2012,NA,1975,0,37
"265","A34",2007,NA,1975,0,32
"266","A34",2006,NA,1975,0,31
"267","A34",1986,NA,1975,0,11
"272","A34",1997,NA,1975,1,22
"273","A34",2008,NA,1975,0,33
"274","A34",2010,NA,1975,1,35
"275","A34",1994,NA,1975,1,19
"278","A34",1990,NA,1975,1,15
"279","A34",2015,NA,1975,0,40
"281","A34",2001,NA,1975,1,26
"282","A34",1988,NA,1975,0,13
"283","A34",1984,NA,1975,0,9
"285","A34",1983,NA,1975,0,8
"286","A34",1992,NA,1975,0,17
"289","A34",1987,NA,1975,0,12
"290","A34",2016,NA,1975,0,41
"292","A34",1985,NA,1975,0,10
"293","A34",2014,NA,1975,0,39
"332","A36",1991,1998,1949,0,42
"334","A36",1990,1998,1949,0,41
"335","A36",1995,1998,1949,0,46
"336","A36",1992,1998,1949,0,43
"337","A36",1988,1998,1949,0,39
"338","A36",1993,1998,1949,0,44
"340","A36",1984,1998,1949,0,35
"341","A36",1996,1998,1949,0,47
"342","A36",1982,1998,1949,1,33
"343","A36",1985,1998,1949,0,36
"344","A36",1997,1998,1949,0,48
"345","A36",1986,1998,1949,0,37
"346","A36",1994,1998,1949,0,45
"347","A36",1989,1998,1949,0,40
"348","A36",1987,1998,1949,0,38
"349","A36",1980,1998,1949,0,31
"350","A42",1994,NA,1980,0,14
"352","A42",1993,NA,1980,0,13
"353","A42",2017,NA,1980,1,37
"355","A42",2006,NA,1980,0,26
"357","A42",1989,NA,1980,0,9
