BIRTH_YEAR,MOTHER,Grand Total
1980,L05,1
1980,L26,1
1980,L27,1
1981,J10,1
1982,J04,1
1984,L28,1
1984,L32,1
1984,L35,1
1985,J10,1
1985,K03,1
1985,L02,1
1985,L11,1
1985,L27,1
1986,K13,1
1986,K18,1
1986,L03,1
1986,L05,1
1986,L22,1
1986,L26,1
1986,L43,1
1987,J14,1
1987,K12,1
1987,L07,1
1987,L11,1
1988,J11,1
1988,K14,1
1989,L02,1
1989,L22,1
1990,K14,1
1990,L27,1
1990,L47,1
1990,L51,1
1990,L55,1
1990,L60,1
1991,J11,1
1991,J16,1
1991,K13,1
1991,L04,1
1991,L28,1
1992,L32,1
1993,J0A,1
1993,J17,1
1993,J19,1
1993,K14,1
1993,L02,1
1993,L22,1
1993,L26,1
1994,K12,1
1994,K13,1
1995,J11,1
1995,J14,1
1995,L11,1
1995,L27,1
1995,L47,1
1995,L60,1
1996,J16,1
1996,J20,1
1996,K03,1
1996,L43,1
1996,L55,1
1998,J17,1
1998,J22,1
1999,J16,1
1999,K12,1
1999,L51,1
1999,L67,1
2000,K16,1
2000,L47,1
2001,J14,1
2001,K13,1
2001,K22,1
2001,L54,1
2002,K16,1
2002,L47,1
2002,L67,1
2003,J11,1
2003,J22,1
2003,K12,1
2003,K14,1
2003,L55,1
2004,J14,1
2004,K20,1
2004,L43,1
2004,L72,1
2005,J19,1
2005,L47,1
2005,L86,1
2006,K22,1
2006,K28,1
2006,L54,1
2007,J14,1
2007,J16,1
2007,L55,1
2007,L83,1
2008,K14,1
2008,L47,1
2009,J14,1
2009,J17,1
2009,J28,1
2009,L86,1
2009,L94,1
2010,J35,1
2010,K12,1
2010,L47,1
2010,L54,1
2010,L77,1
2010,L82,1
2011,J16,1
2011,K27,1
2011,L55,1
2012,J37,1
2012,L77,1
2014,J16,1
2014,L86,1
2015,J17,1
2015,J28,1
2015,J36,1
2015,J41,1
2015,L103,1
2015,L91,1
2015,L94,1
2016,J40,1
