"stock","stock_name","gen_year_range","surv_year_range","size_year_range","lifehistory","run","juv_fine","juv_int1","juv_int2","juv_coarse","adult_fine","adult_int1","adult_int2","adult_coarse"
"AKB","Alaska Hatchery Springs - Behm Canal",NA,"1979-2018",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"AKS","Alaska Spring",NA,"1978-2018",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"ATN","Atnarko River","1987-2016","1987-2018","1976-2018","subyearling","summer","north","north","north","shelf","north","north","north","shelf"
"ATS","Atnarko Yearling","1992-2013","1992-2013","1992-2013","yearling","spring","north","north","north","shelf","north","north","north","shelf"
"CHK","Chilkat River","2001-2016","2001-2018","2002-2017","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"KLM","Kitsumkalum River Summer","1980-2014","1980-2017","1977-2018","subyearling","summer","north","north","north","shelf","north","north","north","shelf"
"KLY","Kitsumkalum Yearling","2001-2016","2001-2018","1986-2018","yearling","summer","north","north","north","shelf","north","north","north","shelf"
"NSA","NE Alaska Spring","1981-2016","1981-2018",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"SSA","SE Alaska Spring","1978-2016","1978-2018",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"STI","Stikine River",NA,"2000-2016","2001-2017","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"TAK","Taku River",NA,"1977-2017","1979-2017","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"TST","Transboundary Rivers","1977-2016","1977-2018",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"UNU","Unuk River","1984-2016","1984-2018","1994-2017","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"BQR","Big Qualicum River Fall","1975-2016","1975-2018","1974-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"CHI","Chilliwack River Fall","1982-2016","1982-2018","1982-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"COW","Cowichan River Fall","1986-2016","1986-2018","1980-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"DOM","Dome Creek Spring","1988-2004","1988-2004","1988-2004","yearling","spring","sog","sog","salish","salish","offshore","offshore","offshore","offshore"
"HAR","Harrison River","1982-2016","1982-2018","1981-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"MSH","Middle Shuswap River Summer","1986-2016","1986-2018","1986-2018","subyearling","summer","sog","sog","salish","salish","north","north","north","shelf"
"NAN","Nanaimo River Fall","1980-2005","1980-2005","1980-2005","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"NIC","Nicola River Spring","1987-2017","1987-2018","1987-2018","yearling","spring","sog","sog","salish","salish","offshore","offshore","offshore","offshore"
"PHI","Phillips River Fall","2010-2016","2010-2018","2011-2018","subyearling","fall","sog","sog","salish","salish","north","north","north","shelf"
"PPS","Puntledge River Summer","1976-2016","1976-2018","1976-2018","subyearling","summer","sog","sog","salish","salish","north","north","north","shelf"
