"year","stock","esc"
1975,"Upper.Geo.","20949"
1976,"Upper.Geo.","22298"
1977,"Upper.Geo.","23570"
1978,"Upper.Geo.","17572"
1979,"Upper.Geo.","8858"
1980,"Upper.Geo.","5776"
1981,"Upper.Geo.","9611"
1982,"Upper.Geo.","15091"
1983,"Upper.Geo.","12977"
1984,"Upper.Geo.","9292"
1985,"Upper.Geo.","13348"
1986,"Upper.Geo.","24804"
1987,"Upper.Geo.","33135"
1988,"Upper.Geo.","9142"
1989,"Upper.Geo.","46340"
1990,"Upper.Geo.","13694"
1991,"Upper.Geo.","25452"
1992,"Upper.Geo.","17742"
1993,"Upper.Geo.","4209"
1994,"Upper.Geo.","3992"
1995,"Upper.Geo.","5729"
1996,"Upper.Geo.","4567"
1997,"Upper.Geo.",NA
1998,"Upper.Geo.",NA
1999,"Upper.Geo.",NA
2000,"Upper.Geo.",NA
2001,"Upper.Geo.",NA
2002,"Upper.Geo.",NA
2003,"Upper.Geo.",NA
2004,"Upper.Geo.",NA
2005,"Upper.Geo.","4798"
2006,"Upper.Geo.","15614"
2007,"Upper.Geo.","6642"
2008,"Upper.Geo.","5664"
2009,"Upper.Geo.","11448"
2010,"Upper.Geo.","7955"
2011,"Upper.Geo.","5583"
2012,"Upper.Geo.","21387"
2013,"Upper.Geo.","20957"
2014,"Upper.Geo.","20760"
2015,"Upper.Geo.","18067"
2016,"Upper.Geo.","19450"
2017,"Upper.Geo.","20115"
2018,"Upper.Geo.","10911"
1975,"Cowichan",NA
1976,"Cowichan",NA
1977,"Cowichan",NA
1978,"Cowichan",NA
1979,"Cowichan",NA
1980,"Cowichan",NA
1981,"Cowichan","5782"
1982,"Cowichan","5034"
1983,"Cowichan","4742"
1984,"Cowichan","5278"
1985,"Cowichan","3675"
1986,"Cowichan","2147"
1987,"Cowichan","2519"
1988,"Cowichan","6878"
1989,"Cowichan","5535"
1990,"Cowichan","5626"
1991,"Cowichan","7408"
1992,"Cowichan","10250"
1993,"Cowichan","7030"
1994,"Cowichan","6407"
1995,"Cowichan","16449"
1996,"Cowichan","14595"
1997,"Cowichan","9973"
1998,"Cowichan","5858"
1999,"Cowichan","6110"
2000,"Cowichan","6638"
2001,"Cowichan","5015"
2002,"Cowichan","4115"
2003,"Cowichan","3356"
2004,"Cowichan","2721"
2005,"Cowichan","2467"
2006,"Cowichan","1775"
2007,"Cowichan","2175"
2008,"Cowichan","2015"
2009,"Cowichan","785"
2010,"Cowichan","2419"
2011,"Cowichan","2786"
2012,"Cowichan","2668"
2013,"Cowichan","4406"
2014,"Cowichan","4185"
2015,"Cowichan","5984"
2016,"Cowichan","7787"
2017,"Cowichan","10590"
2018,"Cowichan","14353"
1975,"Nanaimo",NA
1976,"Nanaimo",NA
1977,"Nanaimo",NA
1978,"Nanaimo",NA
1979,"Nanaimo",NA
1980,"Nanaimo",NA
1981,"Nanaimo","225"
1982,"Nanaimo","1152"
1983,"Nanaimo","1840"
1984,"Nanaimo","3178"
1985,"Nanaimo","914"
1986,"Nanaimo","958"
1987,"Nanaimo","757"
1988,"Nanaimo","1079"
1989,"Nanaimo","1552"
1990,"Nanaimo","1397"
1991,"Nanaimo","935"
1992,"Nanaimo","1127"
1993,"Nanaimo","1405"
1994,"Nanaimo","1072"
1995,"Nanaimo",NA
1996,"Nanaimo",NA
1997,"Nanaimo",NA
1998,"Nanaimo",NA
1999,"Nanaimo",NA
2000,"Nanaimo",NA
2001,"Nanaimo",NA
2002,"Nanaimo",NA
2003,"Nanaimo",NA
2004,"Nanaimo",NA
2005,"Nanaimo",NA
2006,"Nanaimo",NA
2007,"Nanaimo",NA
2008,"Nanaimo",NA
2009,"Nanaimo",NA
2010,"Nanaimo",NA
2011,"Nanaimo",NA
2012,"Nanaimo",NA
2013,"Nanaimo",NA
2014,"Nanaimo",NA
2015,"Nanaimo",NA
2016,"Nanaimo",NA
2017,"Nanaimo",NA
2018,"Nanaimo",NA
1975,"Fraser..Sp.1.3","7656"
1976,"Fraser..Sp.1.3","9050"
1977,"Fraser..Sp.1.3","11213"
1978,"Fraser..Sp.1.3","15092"
1979,"Fraser..Sp.1.3","14062"
1980,"Fraser..Sp.1.3","15800"
1981,"Fraser..Sp.1.3","10927"
1982,"Fraser..Sp.1.3","12729"
1983,"Fraser..Sp.1.3","24081"
1984,"Fraser..Sp.1.3","29471"
1985,"Fraser..Sp.1.3","42380"
1986,"Fraser..Sp.1.3","49399"
1987,"Fraser..Sp.1.3","48322"
1988,"Fraser..Sp.1.3","39903"
1989,"Fraser..Sp.1.3","29700"
1990,"Fraser..Sp.1.3","40689"
1991,"Fraser..Sp.1.3","27182"
1992,"Fraser..Sp.1.3","30226"
1993,"Fraser..Sp.1.3","33201"
1994,"Fraser..Sp.1.3","52275"
1995,"Fraser..Sp.1.3","42974"
1996,"Fraser..Sp.1.3","31379"
1997,"Fraser..Sp.1.3","33920"
1998,"Fraser..Sp.1.3","26163"
1999,"Fraser..Sp.1.3","18185"
2000,"Fraser..Sp.1.3","21542"
2001,"Fraser..Sp.1.3","25479"
2002,"Fraser..Sp.1.3","36563"
2003,"Fraser..Sp.1.3","45349"
2004,"Fraser..Sp.1.3","28706"
2005,"Fraser..Sp.1.3","20029"
2006,"Fraser..Sp.1.3","20077"
2007,"Fraser..Sp.1.3","10789"
2008,"Fraser..Sp.1.3","15373"
2009,"Fraser..Sp.1.3","24321"
2010,"Fraser..Sp.1.3","15584"
2011,"Fraser..Sp.1.3","10998"
2012,"Fraser..Sp.1.3","11186"
2013,"Fraser..Sp.1.3","16009"
2014,"Fraser..Sp.1.3","32905"
2015,"Fraser..Sp.1.3","22990"
2016,"Fraser..Sp.1.3","13781"
2017,"Fraser..Sp.1.3","8343"
2018,"Fraser..Sp.1.3","8482"
1975,"Fraser..Sp.1.2","8360"
1976,"Fraser..Sp.1.2","5575"
1977,"Fraser..Sp.1.2","4458"
1978,"Fraser..Sp.1.2","5209"
1979,"Fraser..Sp.1.2","3437"
1980,"Fraser..Sp.1.2","7460"
1981,"Fraser..Sp.1.2","3718"
1982,"Fraser..Sp.1.2","6637"
1983,"Fraser..Sp.1.2","3264"
1984,"Fraser..Sp.1.2","8068"
1985,"Fraser..Sp.1.2","11800"
1986,"Fraser..Sp.1.2","12604"
1987,"Fraser..Sp.1.2","6434"
1988,"Fraser..Sp.1.2","5501"
1989,"Fraser..Sp.1.2","7794"
1990,"Fraser..Sp.1.2","4482"
1991,"Fraser..Sp.1.2","6589"
1992,"Fraser..Sp.1.2","8656"
1993,"Fraser..Sp.1.2","14540"
1994,"Fraser..Sp.1.2","16440"
1995,"Fraser..Sp.1.2","18000"
1996,"Fraser..Sp.1.2","26627"
1997,"Fraser..Sp.1.2","22251"
1998,"Fraser..Sp.1.2","5105"
1999,"Fraser..Sp.1.2","11409"
2000,"Fraser..Sp.1.2","16002"
2001,"Fraser..Sp.1.2","18210"
2002,"Fraser..Sp.1.2","24477"
2003,"Fraser..Sp.1.2","28740"
2004,"Fraser..Sp.1.2","20427"
2005,"Fraser..Sp.1.2","8983"
2006,"Fraser..Sp.1.2","9601"
2007,"Fraser..Sp.1.2","2474"
2008,"Fraser..Sp.1.2","11774"
2009,"Fraser..Sp.1.2","2173"
2010,"Fraser..Sp.1.2","9406"
2011,"Fraser..Sp.1.2","5181"
2012,"Fraser..Sp.1.2","11359"
2013,"Fraser..Sp.1.2","6821"
2014,"Fraser..Sp.1.2","24614"
2015,"Fraser..Sp.1.2","11150"
2016,"Fraser..Sp.1.2","8904"
2017,"Fraser..Sp.1.2","5103"
2018,"Fraser..Sp.1.2","2100"
1975,"Nicola.Sp.1.2",NA
1976,"Nicola.Sp.1.2",NA
1977,"Nicola.Sp.1.2",NA
1978,"Nicola.Sp.1.2",NA
1979,"Nicola.Sp.1.2",NA
1980,"Nicola.Sp.1.2",NA
1981,"Nicola.Sp.1.2",NA
1982,"Nicola.Sp.1.2",NA
1983,"Nicola.Sp.1.2",NA
1984,"Nicola.Sp.1.2",NA
1985,"Nicola.Sp.1.2",NA
1986,"Nicola.Sp.1.2",NA
1987,"Nicola.Sp.1.2",NA
1988,"Nicola.Sp.1.2",NA
1989,"Nicola.Sp.1.2",NA
1990,"Nicola.Sp.1.2",NA
1991,"Nicola.Sp.1.2",NA
1992,"Nicola.Sp.1.2",NA
1993,"Nicola.Sp.1.2",NA
1994,"Nicola.Sp.1.2",NA
1995,"Nicola.Sp.1.2","10624"
1996,"Nicola.Sp.1.2","17777"
1997,"Nicola.Sp.1.2","9612"
1998,"Nicola.Sp.1.2","1547"
1999,"Nicola.Sp.1.2","8130"
2000,"Nicola.Sp.1.2","8183"
2001,"Nicola.Sp.1.2","8984"
2002,"Nicola.Sp.1.2","12885"
2003,"Nicola.Sp.1.2","14490"
2004,"Nicola.Sp.1.2","10153"
2005,"Nicola.Sp.1.2","3248"
2006,"Nicola.Sp.1.2","5087"
2007,"Nicola.Sp.1.2","1010"
2008,"Nicola.Sp.1.2","4411"
2009,"Nicola.Sp.1.2","538"
2010,"Nicola.Sp.1.2","5258"
2011,"Nicola.Sp.1.2","2731"
2012,"Nicola.Sp.1.2","5702"
2013,"Nicola.Sp.1.2","3445"
2014,"Nicola.Sp.1.2","7122"
2015,"Nicola.Sp.1.2","4836"
2016,"Nicola.Sp.1.2","2180"
2017,"Nicola.Sp.1.2","1702"
2018,"Nicola.Sp.1.2","1627"
1975,"Fraser..Sum.1.3","17294"
1976,"Fraser..Sum.1.3","12754"
1977,"Fraser..Sum.1.3","16748"
1978,"Fraser..Sum.1.3","17561"
1979,"Fraser..Sum.1.3","9462"
1980,"Fraser..Sum.1.3","12634"
1981,"Fraser..Sum.1.3","11879"
1982,"Fraser..Sum.1.3","13086"
1983,"Fraser..Sum.1.3","15091"
1984,"Fraser..Sum.1.3","13447"
1985,"Fraser..Sum.1.3","16020"
1986,"Fraser..Sum.1.3","28549"
1987,"Fraser..Sum.1.3","21631"
1988,"Fraser..Sum.1.3","27948"
1989,"Fraser..Sum.1.3","14494"
1990,"Fraser..Sum.1.3","27096"
1991,"Fraser..Sum.1.3","19898"
1992,"Fraser..Sum.1.3","22415"
1993,"Fraser..Sum.1.3","19041"
1994,"Fraser..Sum.1.3","18085"
1995,"Fraser..Sum.1.3","24323"
1996,"Fraser..Sum.1.3","35339"
1997,"Fraser..Sum.1.3","34397"
1998,"Fraser..Sum.1.3","31542"
1999,"Fraser..Sum.1.3","19205"
2000,"Fraser..Sum.1.3","21868"
2001,"Fraser..Sum.1.3","25302"
2002,"Fraser..Sum.1.3","29561"
2003,"Fraser..Sum.1.3","44109"
2004,"Fraser..Sum.1.3","32339"
2005,"Fraser..Sum.1.3","20181"
2006,"Fraser..Sum.1.3","21362"
2007,"Fraser..Sum.1.3","11124"
2008,"Fraser..Sum.1.3","17340"
2009,"Fraser..Sum.1.3","21596"
2010,"Fraser..Sum.1.3","20377"
2011,"Fraser..Sum.1.3","16332"
2012,"Fraser..Sum.1.3","9769"
2013,"Fraser..Sum.1.3","11263"
2014,"Fraser..Sum.1.3","24424"
2015,"Fraser..Sum.1.3","30537"
2016,"Fraser..Sum.1.3","9522"
2017,"Fraser..Sum.1.3","6390"
2018,"Fraser..Sum.1.3","5443"
1975,"Fraser..Sum.0.3","41134"
1976,"Fraser..Sum.0.3","5909"
1977,"Fraser..Sum.0.3","25780"
