year,season,teleostei,amphipod,euphausiid,decapod,other
1998,summer,36.89048037,22.07852981,19.89915499,17.95300678,3.178828052
1999,summer,47.74774775,11.96616464,6.980262705,29.96355134,3.342273572
2000,summer,27.20101984,27.87028922,5.887977054,36.07680663,2.963907257
2001,summer,31.40495868,23.39156816,15.9012449,27.07396171,2.228266556
2002,summer,48.0238933,13.59954177,22.72318141,12.98584404,2.667539481
2003,summer,NA,NA,NA,NA,NA
2004,summer,47.46432035,7.600110849,3.893584592,39.59401413,1.44797007
2005,summer,30.39840637,30.73041169,3.160690571,30.26560425,5.444887118
2006,summer,42.85817603,5.749620308,4.997468721,38.56946554,7.825269401
2007,summer,3.363110878,26.05359958,2.228060956,47.54598003,20.80924856
2008,summer,46.77603299,12.72743223,8.2200193,28.30248268,3.97403281
2009,summer,37.30131601,22.35515297,3.392582465,31.76380106,5.187147496
2010,summer,18.84382854,30.89328171,10.12567081,36.61436044,3.522858502
2011,summer,58.61223198,11.90758763,2.16789303,23.9259435,3.386343856
2012,summer,62.24198981,8.644960705,11.27903964,16.0462907,1.787719147
2013,summer,21.46788991,36.07798165,11.99541284,24.66743119,5.791284404
2014,summer,26.22538293,27.77899344,13.14004376,27.96498906,4.89059081
2015,summer,57.30919765,10.11741683,7.40704501,20.52837573,4.637964775
