"year","stock","juv_group3b","escapement"
1975,"situk","north_streamtype",NA
1976,"situk","north_streamtype",1.421
1977,"situk","north_streamtype",1.732
1978,"situk","north_streamtype",0.808
1979,"situk","north_streamtype",1.284
1980,"situk","north_streamtype",0.905
1981,"situk","north_streamtype",0.702
1982,"situk","north_streamtype",0.434
1983,"situk","north_streamtype",0.592
1984,"situk","north_streamtype",1.726
1985,"situk","north_streamtype",1.521
1986,"situk","north_streamtype",2.067
1987,"situk","north_streamtype",1.379
1988,"situk","north_streamtype",0.868
1989,"situk","north_streamtype",0.637
1990,"situk","north_streamtype",0.628
1991,"situk","north_streamtype",0.889
1992,"situk","north_streamtype",1.595
1993,"situk","north_streamtype",0.952
1994,"situk","north_streamtype",1.271
1995,"situk","north_streamtype",4.33
1996,"situk","north_streamtype",1.8
1997,"situk","north_streamtype",1.878
1998,"situk","north_streamtype",0.924
1999,"situk","north_streamtype",1.461
2000,"situk","north_streamtype",1.785
2001,"situk","north_streamtype",0.562
2002,"situk","north_streamtype",1
2003,"situk","north_streamtype",2.163
2004,"situk","north_streamtype",0.756
2005,"situk","north_streamtype",0.61
2006,"situk","north_streamtype",0.747
2007,"situk","north_streamtype",0.677
2008,"situk","north_streamtype",0.413
2009,"situk","north_streamtype",0.902
2010,"situk","north_streamtype",0.166
2011,"situk","north_streamtype",0.24
2012,"situk","north_streamtype",0.322
2013,"situk","north_streamtype",0.912
2014,"situk","north_streamtype",0.475
2015,"situk","north_streamtype",0.174
2016,"situk","north_streamtype",0.329
2017,"situk","north_streamtype",1.187
2018,"situk","north_streamtype",0.42
1975,"alsek","north_streamtype",NA
1976,"alsek","north_streamtype",5.282
1977,"alsek","north_streamtype",12.706
1978,"alsek","north_streamtype",12.034
1979,"alsek","north_streamtype",17.354
1980,"alsek","north_streamtype",10.718
1981,"alsek","north_streamtype",8.587
1982,"alsek","north_streamtype",9.584
1983,"alsek","north_streamtype",10.344
1984,"alsek","north_streamtype",7.213
1985,"alsek","north_streamtype",6.087
1986,"alsek","north_streamtype",11.069
1987,"alsek","north_streamtype",11.276
1988,"alsek","north_streamtype",8.852
1989,"alsek","north_streamtype",10.178
1990,"alsek","north_streamtype",8.775
1991,"alsek","north_streamtype",11.667
1992,"alsek","north_streamtype",5.773
1993,"alsek","north_streamtype",13.917
1994,"alsek","north_streamtype",15.97
1995,"alsek","north_streamtype",24.772
1996,"alsek","north_streamtype",15.922
1997,"alsek","north_streamtype",12.494
1998,"alsek","north_streamtype",6.833
1999,"alsek","north_streamtype",14.615
2000,"alsek","north_streamtype",7.905
2001,"alsek","north_streamtype",6.705
2002,"alsek","north_streamtype",5.569
2003,"alsek","north_streamtype",5.904
2004,"alsek","north_streamtype",7.083
2005,"alsek","north_streamtype",4.39
2006,"alsek","north_streamtype",2.321
2007,"alsek","north_streamtype",2.827
2008,"alsek","north_streamtype",1.885
2009,"alsek","north_streamtype",6.239
2010,"alsek","north_streamtype",9.526
2011,"alsek","north_streamtype",6.85
2012,"alsek","north_streamtype",3.027
2013,"alsek","north_streamtype",4.992
2014,"alsek","north_streamtype",3.357
2015,"alsek","north_streamtype",5.697
2016,"alsek","north_streamtype",2.574
2017,"alsek","north_streamtype",1.718
2018,"alsek","north_streamtype",4.312
1975,"taku","north_streamtype",12.92
1976,"taku","north_streamtype",24.582
1977,"taku","north_streamtype",29.497
1978,"taku","north_streamtype",17.124
1979,"taku","north_streamtype",21.617
1980,"taku","north_streamtype",39.239
1981,"taku","north_streamtype",49.559
1982,"taku","north_streamtype",23.848
1983,"taku","north_streamtype",9.794
1984,"taku","north_streamtype",20.778
1985,"taku","north_streamtype",35.916
1986,"taku","north_streamtype",38.111
1987,"taku","north_streamtype",28.935
1988,"taku","north_streamtype",44.524
1989,"taku","north_streamtype",40.329
1990,"taku","north_streamtype",52.142
1991,"taku","north_streamtype",51.645
1992,"taku","north_streamtype",55.889
1993,"taku","north_streamtype",66.125
1994,"taku","north_streamtype",48.368
1995,"taku","north_streamtype",33.805
1996,"taku","north_streamtype",79.019
1997,"taku","north_streamtype",114.938
1998,"taku","north_streamtype",31.039
1999,"taku","north_streamtype",16.786
2000,"taku","north_streamtype",34.997
2001,"taku","north_streamtype",46.644
2002,"taku","north_streamtype",55.044
2003,"taku","north_streamtype",36.435
