OEY,KLM,KLY,ATN,ATS,RBT,PPS,QUI,BQR,COW,NAN,CHI,HAR,DOM,NIC,SHU,MSH,PHI,STI,TAK,CHK,UNU,AKS,NKS,NSF,SKF,SKS,SSF,STL,UWA,NIS,SAM,SKY,SPS,SPY,SQP,WRY,ELW,HOK,QUE,SOO,CWF,LRH,LRW,SPR,WSH,HAN,LYF,LYY,SUM,URB,ELK,SRH,GAD
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064,,,,,,,,,,,0.0826,,,,,,,,,0.0077
1974,,,,,0.0348,,,0.0938,,,,,,,,,,,,,,,,,,,,,,,,,0.0549,,,,,,,,,,,0.0381,,,,,,,,,NA
1975,,,,,0.201,,0.0896,0.2544,,,,,,,,,,,,,,,,,,,,,,,0.1447,,0.0264,,,,,,,,,,,0.062,,,,,,,,,0.039
1976,,,,,0.1007,0.0471,0.0207,0.0935,,,,,,,,,,,,,,,,,,,,,0.0977,,0.057,,0.0951,,,0.0403,,,,,,,,0.0264,,,,,0.0037,0.0746,,,0.0054
1977,,,,,0.1238,0.1276,0.0904,0.2062,,,,,,,,,,,0.1555,,,,,,,,,,0.1803,,NA,,NA,,,0.0014,,,,,,0.0035,,0.0256,0.0332,,,,0.0056,0.0326,,0.0849,NA
1978,,,,,0.0303,0.0193,0.0262,0.0382,,,,,,,,,,,0.0264,,,0.2529,,,,,,,0.0969,,NA,,NA,,,NA,,,0.0073,,0.011,0.0242,0.0449,0.0301,0.0472,,,,0.0034,0.0254,0.0151,0.05,NA
1979,,,,,0.0711,0.0226,0.0481,0.0205,,,,,,,,,,,0.0182,,,0.0237,,,,,,,0.1208,,NA,,0.0155,0.0108,,NA,,,0.0088,,0.0081,0.0191,0.0104,0.0338,0.0499,,,,NA,0.0402,0.1152,0.0796,0.0631
1980,,,,,0.0652,0.0091,0.0245,0.0089,,0.0819,,,,,,,,,0.0173,,,0.0685,,,,,,,0.107,,0.1194,,0.0441,0.0171,,NA,,,0.0313,,0.0044,0.0167,0.0325,0.0408,0.0249,,,,NA,0.0236,0.1065,0.0402,0.0092
1981,0.0098,,,,0.0495,0.0215,0.0302,0.0083,,0.1363,,,,,,,,,0.0353,,,0.1846,,,,,,0.0028,0.0299,,NA,,0.0237,0.0169,,NA,,,0.0108,,0.0129,0.0088,NA,0.0057,0.034,,,,NA,0.02,0.1458,0.0557,0.0047
1982,0.0165,,,,0.0351,0.0087,0.0769,0.0186,,NA,0.3055,0.2397,,,,,,,0.0187,,,0.1466,,,,,,0.0051,0.0526,,NA,,0.038,0.0095,,NA,,,0.0075,,0.0066,0.0088,NA,0.0106,0.0412,,,,NA,0.0191,0.0539,NA,0.037
1983,0.0246,,,,0.0172,0.0075,0.0423,0.0299,,0.0094,0.0503,0.038,,,,,,,0.1314,,,0.1729,0.024,,,0.04,,0.016,0.056,,NA,,0.0225,NA,,NA,0.0232,,0.0092,,0.0093,0.0111,0.0284,0.0361,0.0575,,,,NA,0.026,0.0104,0.0697,NA
1984,NA,,,,0.0012,0.0052,0.0368,0.0263,,NA,0.0946,0.0103,,,,,,,NA,,0.1322,0.2304,0.0114,,,0.0148,,0.0132,0.0873,,NA,,0.0209,NA,,NA,0.0177,,0.041,,0.0272,0.0034,0.0316,0.004,0.0092,,,,0.0053,0.0606,0.329,0.0755,NA
1985,0.0126,,,,0.0439,0.0075,0.0463,0.0042,,NA,0.1309,0.0106,,,0.067,,,,NA,,0.0868,0.1524,NA,,,0.0058,,NA,0.0818,,NA,,0.0384,NA,,NA,0.0213,,NA,,0.0354,0.0959,0.0434,0.0012,0.0295,,0.0206,,0.0061,0.0589,0.174,0.091,NA
1986,0.0162,,,,0.0421,0.0023,0.0127,0.0044,0.0267,NA,0.0398,0.0138,,,0.049,,,,NA,,0.0733,0.104,0.036,,,0.0156,,NA,,,0.0075,,0.011,NA,,NA,0.0059,0.0054,0.0299,0.0026,0.0074,0.0058,0.0433,0.0035,0.0425,,NA,0.0245,0.0219,0.0173,0.2202,0.0195,0.0286
1987,0.0093,,0.0095,,0.0956,0.0076,0.0249,0.0131,NA,NA,0.2864,0.0722,,0.0383,0.0475,,,,NA,,0.0184,0.0574,NA,,0.0067,0.0751,,0.0367,,,0.0583,,0.0548,0.0576,0.0222,NA,0.0029,0.0248,0.0389,0.0019,0.0047,0.0028,0.0517,0.0118,0.0496,0.0158,0.0113,NA,0.0042,0.0084,0.0742,0.0541,0.016
1988,0.0021,,0.0146,,0.097,0.0022,0.0126,0.0052,0.0334,0.0048,0.069,0.0263,0.0042,0.0074,0.0351,,,,NA,,0.1053,0.123,0.001,,NA,0.0169,,0.0255,,,0.0156,,0.008,0.1446,0.0344,NA,NA,0.0259,0.033,0.0095,0.0014,0.0035,0.0227,0.0085,0.0634,0.0041,0.0008,0.0458,0.0128,0.0017,0.0307,0.0499,0.0318
1989,0.0174,,0.0244,,0.1297,0.0049,0.0115,0.0113,0.0557,0.0262,0.284,0.1085,0.0115,0.032,0.0135,,,,NA,,NA,0.0617,0.0035,,NA,0.024,,0.0331,,,0.0078,,0.0143,0.0031,0.0203,NA,0.0002,NA,0.013,NA,0.0035,0.0042,0.0215,0.0132,0.0431,0.0054,0.0009,0.0241,0.0062,0.0044,0.0252,0.0184,0.0035
