"","year","stock","stock_name","smolt","run","region","lat","long","agg_reg","group","survival","M"
"1","1971","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"2","1972","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"3","1973","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"4","1974","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"5","1975","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"6","1976","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",NA,NA
"7","1977","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.0290493,3.53876089236008
"8","1978","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.1400107,1.96603643072192
"9","1979","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.1327097,2.01959124310369
"10","1980","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.156775,1.85294362255305
"11","1981","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.1670181,1.78965308920489
"12","1982","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.3087667,1.17516930343389
"13","1983","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.2130225,1.54635748504875
"14","1984","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.1403987,1.96326904669255
"15","1985","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.06660475,2.70897938265772
"16","1986","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.102239,2.28044206930841
"17","1987","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north_streamtype",0.04877561,3.0205248861442
