,AKB,AKS,ATN,ATS,BQR,CHI,CHK,COW,CWF,DOM,ELK,ELW,GAD,GRN,HAN,HAR,KLM,KLY,LRH,LRW,LYF,LYY,MSH,NAN,NIC,NIS,NKS,NSA,NSF,PHI,PPS,QUE,QUI,RBT,SAM,SHU,SKF,SKS,SKY,SOO,SPR,SPS,SPY,SQP,SRH,SSA,SSF,STI,STL,SUM,TAK,TST,UNU,URB,UWA,WRY,WSH
Brood_Year,Alaska Hatchery Springs - Behm Canal,Alaska Spring,Atnarko River,Atnarko Yearling,Big Qualicum River Fall,Chilliwack River Fall,Chilkat River,Cowichan River Fall,Cowlitz Fall Tule,Dome Creek Spring,Elk River,Elwha River,George Adams Fall Fingerling,Green River,Hanford Wild Brights,Harrison River,Kitsumkalum River Summer,Kitsumkalum Yearling,Lower River Hatchery Tule,Lewis River Wild,Lyons Ferry Fingerling,Lyons Ferry Yearling,Middle Shuswap River Summer,Nanaimo River Fall,Nicola River Spring,Nisqually Fall Fingerling,Nooksack Spring Yearling,NE Alaska Spring,Nooksack Spring Fingerling,Phillips River Fall,Puntledge River Summer,Queets Fall Fingerling,Quinsam River Fall,Robertson Creek Fall,Samish Fall Fingerling,Lower Shuswap River Summer,Skagit Spring Fingerling,Skagit Spring Yearling,Skykomish Fall Fingerling,Sooes Fall Fingerling,Spring Creek Tule,South Puget Sound Fall Fingerling,South Puget Sound Fall Yearling,Squaxin Pens Fall Yearling,Salmon River,SE Alaska Spring,Skagit Summer Fingerling,Stikine River,Stillaguamish Fall Fingerling,Columbia River Summer,Taku River,Transboundary Rivers,Unuk River,Columbia River Upriver Bright,University of Washington Accelerated,White River Spring Yearling,Willamette Spring
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007829404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007829404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007952682,0.006413672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08260992,0.006413672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,0.09381175,NA,NA,NA,NA,NA,NA,NA,NA,0.05490827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03483041,NA,NA,NA,NA,NA,NA,0.03810815,0.05490826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,0.2544448,NA,NA,NA,NA,NA,NA,NA,0.03656897,0.02644661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09112453,0.2009522,0.1446766,NA,NA,NA,NA,NA,0.06204587,0.02644661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04029951,NA
1975,NA,NA,NA,NA,0.09349959,NA,NA,NA,NA,NA,NA,NA,0.005483896,0.09507721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04709329,NA,0.02134876,0.1007062,0.05696194,NA,NA,NA,NA,NA,0.02636901,0.0950779,NA,NA,NA,NA,NA,NA,NA,0.003720282,0.1555383,0.1555383,NA,0.07469223,0.09767227,0.001378571,0.03315621
1976,NA,0.2532562,NA,NA,0.2062038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003454075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127581,NA,0.09092142,0.1237521,NA,NA,NA,NA,NA,NA,0.02563296,NA,NA,NA,0.08566366,0.2532557,NA,NA,NA,0.005928072,0.02642264,0.02642263,NA,0.03261898,0.1803076,NA,0.0471748
1977,0.0290493,0.02371078,NA,NA,0.03817479,NA,NA,NA,0.01096292,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02420699,0.03156029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01931339,0.005412078,0.02625968,0.03025514,NA,NA,NA,NA,NA,NA,0.03007137,NA,NA,NA,0.05000481,0.02371158,NA,NA,NA,0.003349572,0.01822353,0.01822353,NA,0.02540808,0.09693538,NA,0.04991018
1978,0.1400107,0.06847728,NA,NA,0.02054552,NA,NA,NA,0.008056318,NA,NA,NA,0.05865942,0.01658982,NA,NA,NA,NA,0.01910189,0.007828239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02256562,0.00687568,0.04869176,0.07107807,NA,0.01205783,NA,NA,NA,NA,0.03377351,0.01549335,0.01079727,NA,0.0796025,0.06862855,NA,NA,NA,NA,0.0172653,0.01726529,NA,0.04018089,0.1208371,NA,0.02485204
1979,0.1327097,0.1846382,NA,NA,0.008875062,NA,NA,NA,0.00437437,NA,0.1056304,NA,0.009878168,0.042875,NA,NA,0.01015669,NA,0.01672311,0.01635343,NA,NA,NA,0.08188911,NA,0.01533106,NA,0.2397969,NA,NA,0.0091154,0.02654935,0.02483796,0.06509081,0.1194625,0.01142416,NA,NA,NA,NA,0.0407966,0.04412986,0.01711438,NA,0.04139004,0.157625,NA,NA,NA,NA,0.03531269,0.03531269,NA,0.02363017,0.1070191,NA,0.03399121
1980,0.156775,0.1466327,NA,NA,0.008258323,NA,NA,NA,0.01287583,NA,0.1463175,NA,0.004640666,0.003553779,NA,NA,0.0171892,NA,0.008767878,NA,NA,NA,NA,0.1362983,NA,0.007298132,NA,0.1304034,NA,NA,0.02150892,0.008451164,0.03022519,0.04942707,NA,NA,NA,NA,NA,NA,0.005733686,0.02372127,0.0169002,NA,0.05736676,0.1503982,NA,NA,0.002817818,NA,0.01871611,0.01871612,NA,0.0199968,0.02989948,NA,0.04123234
1981,0.1670181,0.1729214,NA,NA,0.01861436,0.3055078,NA,NA,0.00657306,NA,0.05400417,NA,0.03677699,0.02068013,NA,0.2396692,0.01945396,NA,0.008748812,NA,NA,NA,NA,NA,NA,0.01887185,0.02399187,0.1426159,NA,NA,0.008672439,0.006892937,0.0793086,0.0350891,NA,NA,NA,0.04004299,NA,NA,0.01057659,0.03797553,0.009540867,NA,NA,0.1782158,NA,NA,0.005141262,NA,0.1314303,0.1314303,NA,0.01913031,0.05258214,NA,0.05733208
1982,0.3087667,0.2304078,NA,NA,0.02986019,0.05026181,NA,NA,0.009313879,NA,0.01041375,0.02319214,NA,NA,NA,0.03804174,NA,NA,0.01112897,0.01889375,NA,NA,NA,0.009395273,NA,0.007810062,0.01138441,0.1626933,NA,NA,0.007485785,0.008088519,0.04232344,0.01704291,NA,NA,NA,0.01480759,NA,NA,0.03611076,0.02247579,NA,NA,0.07159735,0.2600147,NA,NA,0.01595073,NA,NA,NA,0.1324227,0.02596017,0.05602524,NA,0.009219169
1983,0.2130225,0.1524341,NA,NA,0.0263241,0.09460957,NA,NA,0.02715853,NA,0.3290277,0.01771381,NA,NA,NA,0.01069239,0.01177099,NA,0.003444374,0.01582982,NA,NA,NA,NA,NA,0.007865677,NA,0.08272023,NA,NA,0.00524503,0.04259792,0.03702437,0.001177043,NA,NA,NA,0.005783616,NA,NA,0.004013749,0.02092096,NA,NA,0.07883209,0.1602811,NA,NA,0.01322657,0.005390801,NA,NA,0.08692045,0.06058266,0.08730976,NA,0.02949925
