stock,new_stock,juv_group3b
situk,situk,north_streamtype
alsek,alsek,north_streamtype
taku,taku,north_streamtype
stikine,stikine,north_streamtype
chilkat,chilkat,north_streamtype
king.salmon,king_salmon,north_streamtype
andrew.ck,andrew_creek,north_streamtype
unuk.river,unuk,north_streamtype
chickamin.river,chickamin,north_streamtype
blossom.river,blossom,north_streamtype
keta.river,keta,north_streamtype
yakoun,yakoun,north_streamtype
nass,nass,north_streamtype
skeena,skeena,north_streamtype
kitsumkalum,kitsumkalum,north_streamtype
dean,dean,north_streamtype
wannock,wannock,north_oceantype
chuckwalla..killbella,chuckwalla,north_streamtype
atnarko.wild,atnarko.wild,north_oceantype
atnarko.total,atnarko.total,north_oceantype
wcvi.14.stream.index,wcvi_index,south_oceantype
marble,marble,south_oceantype
burman,burman,south_oceantype
tahsis,tahsis,south_oceantype
artlish,artlish,south_oceantype
kaouk,kaouk,south_oceantype
tahsish,tahsish,south_oceantype
upper.geo.,upper.geo.,sog_oceantype
nimpkish,nimpkish,sog_oceantype
klinaklini,klinaklini,sog_oceantype
kakweiken,kakweiken,sog_oceantype
kingcome,kingcome,sog_oceantype
wakeman,wakeman,sog_oceantype
cowichan,cowichan,sog_oceantype
fraser..sp.1.3,fraser_spring_1.3,sog_streamtype
fraser..sp.1.2,fraser_spring_1.2,sog_streamtype
fraser..sum.1.3,fraser_summer_1.3,sog_streamtype
fraser..sum.0.3,fraser_summer_0.3,sog_oceantype
harrison,harrison,sog_oceantype
skagit.spr,skagit_spring,puget_streamtype
skagit.sum,skagit_summer,puget_streamtype
stillaguamish,stillaguamish,puget_oceantype
snohomish,snohomish,puget_oceantype
green,green,puget_oceantype
nooksack.spr,nooksack_spring,puget_streamtype
lake.washington,lake_washington,puget_oceantype
hoko,hoko,south_oceantype
quillayute.sum,quillayute_summer,south_oceantype
quillayute.fall,quillayute_fall,south_oceantype
hoh.spr.sum,hoh_spring_summer,south_oceantype
hoh.fall,hoh_fall,south_oceantype
queets.spr.sum,queets_spring_summer,south_oceantype
queets.fall,queets_fall,south_oceantype
grays.harbor.spr,grays_harbor_spring,south_streamtype
grays.harbor.fall,grays_harbor_fall,south_oceantype
col..upriver.spr,columbia_upriver_spring,south_streamtype
col.r.sum,columbia_summer,south_oceantype
col.upriver.brgt,columbia_upriver_bright,south_oceantype
coweeman,coweeman,south_oceantype
lewis.r.,lewis,south_oceantype
deschutes.r.,deschutes,south_oceantype
nehalem,nehalem,south_oceantype
siletz,siletz,south_oceantype
siuslaw,siuslaw,south_oceantype
s..umpqua,south_umpqua,south_oceantype
coquillle,coquillle,south_oceantype
