Year,Situk,Alsek,Taku,Stikine,Chilkat,King Salmon,Andrew CK,Unuk River,Chickamin River,Blossom River,Keta River, Yakoun ,Nass, Skeena ,Kitsumkalum,Dean , Wannock , Chuckwalla +Killbella , Atnarko Wild , Atnarko Total ,  WCVI 14 stream Index , Marble , Burman , Tahsis , Artlish , Kaouk , Tahsish ,Upper Geo., Nimpkish , Klinaklini , Kakweiken , Kingcome , Wakeman ,Cowichan, Fraser  Sp 1.3 , Fraser  Sp 1.2 ,Nicola Sp 1.2, Fraser  Sum 1.3 , Fraser  Sum 0.3 ,L. Shuswap, Harrison ,Skagit Spr, Skagit Sum , Stillaguamish ,  Snohomish ,Green,     Nooksack Spr,Lake Washington,Hoko,Quillayute Sum,Quillayute Fall,Hoh Spr Sum,Hoh Fall,Queets Spr Sum,Queets Fall,Grays Harbor Spr,Grays Harbor Fall, Col. Upriver Spr ,Col R Sum,Col Upriver Brgt,Coweeman,Lewis R.,Deschutes R.,Nehalem,Siletz,Siuslaw,S. Umpqua  ,Coquillle 
75,,,12920,7571,,64,507,,1758,565,611,1500,,20319,,,3000,150,,,,400,200,75,25,75,25,20949,1100,16560,200,1500,1500,,7656,8360,,17294,41134,,,,11320,1198,3953,3394,,918,,,,,,,,,4251,,,29600,94,13859,,5197,2062,4427,212,6726
76,1421,5282,24582,5723,,99,404,,746,263,253,700,,13078,,,1500,100,,,,400,400,200,25,25,25,22298,3500,14569,650,1500,2000,,9050,5575,,12754,5909,,,,14120,2140,4659,3140,,582,,1300,,600,2500,505,1200,600,1836,,,27700,74,3371,,9807,1326,7999,136,3506
77,1732,12706,29497,11445,,204,456,4706,1724,433,692,800,13688,29018,,,1400,550,,,,950,500,150,60,75,100,23570,750,21078,130,750,750,,11213,4458,,16748,25780,,,,9218,1475,5542,3804,,944,,3800,,1000,2100,732,3600,800,5195,,,36060,86,6930,7903,11478,3314,9492,230,5804
78,808,12034,17124,6835,,87,388,5344,1463,553,1180,600,15485,22661,,3500,2000,500,,,,1500,1000,100,NA,50,50,17572,1300,13848,350,1000,1000,,15092,5209,,17561,23644,,,,13075,1232,7905,3304,,1245,,2300,,1400,1900,1110,2200,1000,4555,,,25798,62,5363,5393,12059,2062,5872,439,6307
79,1284,17354,21617,12610,,134,327,2783,1135,209,1282,400,11253,18488,,4000,2000,50,,,,750,650,348,40,60,200,8858,500,7955,60,50,233,,14062,3437,,9462,24892,,,,13306,1042,5726,9704,,1739,,2100,,1400,1700,870,3900,400,9381,,18797,28926,88,8023,5126,12205,7217,8040,394,3615
80,905,10718,39239,30573,,106,282,4909,2114,344,578,600,13476,23429,,2000,2000,0,,,,5000,345,NA,100,NA,200,5776,300,4883,500,32,35,,15800,7460,,12634,10237,,,,20058,821,6526,7743,,1903,,964,6700,800,2200,1038,3200,200,11656,8906,13854,27708,56,16394,4106,5555,3680,10630,537,4326
81,702,8587,49559,36057,,154,536,3532,1824,615,990,750,12625,24523,,3500,3000,100,,,,3000,300,150,500,100,1000,9611,700,8619,200,20,25,5782,10927,3718,,11879,16032,,,,8283,630,3330,3606,,970,,815,5963,1498,3100,988,4250,600,7577,14571,8639,19520,38,19297,6070,10752,4435,8724,976,4477
82,434,9584,23848,40488,,394,672,6528,2712,1335,2270,1400,7959,17092,,,750,950,,,,5000,NA,125,100,NA,1000,15091,700,12887,196,450,750,5034,12729,6637,,13086,7708,,,,9910,773,4498,1840,,1189,,1126,7107,1553,4500,781,4150,610,5606,14322,6587,28313,73,8370,5513,5085,3415,10870,1109,7294
83,592,10344,9794,6424,,245,366,5436,2845,2279,2474,600,13252,23562,,500,1750,1400,,,,1000,475,50,NA,300,500,12977,1500,10536,160,359,309,4742,24081,3264,,15091,9206,5396,,,8723,387,4537,3679,,1646,,548,3069,1696,2500,1044,2750,800,5482,14131,6334,45567,40,13540,5491,4431,2136,4186,1678,1099
84,1726,7213,20778,13995,,265,389,8876,5235,1966,1836,300,20967,37598,12408,4500,750,575,,,,600,700,12,650,400,1500,9292,3000,5776,88,197,169,5278,29471,8068,,13447,15427,7582,120835,,12628,374,3484,3353,233,1610,,618,9128,1430,1900,958,4350,1128,21058,12537,13984,52266,164,7132,2779,20341,3461,11168,2794,5452
85,1521,6087,35916,16037,,175,624,5721,4541,2744,1878,1500,17782,53599,8304,4000,1300,340,,,,1250,500,50,400,300,1200,13348,3000,9327,500,150,300,3675,42380,11800,,16020,20103,10539,174776,,16002,1409,4730,2908,703,1255,,550,6145,978,1725,677,4150,1157,9537,19623,14505,74206,168,7491,7902,18670,6628,14822,2385,4222
86,2067,11069,38111,14889,,255,1381,10273,8289,4946,2077,500,36523,59968,9109,3300,7000,175,,,,1100,400,60,100,100,1000,24804,700,22697,344,774,100,2147,49399,12604,,28549,31083,,162594,,17908,1277,4534,4792,396,1846,801,853,10006,1248,4981,925,7894,1795,13808,16878,14850,93051,124,11983,7467,10389,6748,14844,1616,5361
87,1379,11276,28935,24632,,196,1537,9533,4631,5221,2312,2000,19540,59120,23657,1144,4500,700,,,,1750,100,20,100,100,500,33135,3000,27069,411,1500,1000,2519,48322,6434,,21631,29318,,79036,,9409,1321,4689,10338,429,2652,581,666,12352,1710,4006,598,6557,841,19013,16492,13415,126153,86,12935,9187,13560,4577,17603,3032,7071
88,868,8852,44524,37554,,208,1100,8437,3734,1486,1731,2000,15345,68705,22267,1300,4000,375,,,,3275,400,125,NA,NA,400,9142,1500,6800,103,200,500,6878,39903,5501,,27948,40434,,35114,,11468,717,4513,7994,689,1015,686,2599,15168,2605,4128,1765,9494,3106,28158,16840,13634,98220,1108,12059,9548,14889,7805,41746,4194,7772
89,637,10178,40329,24282,,240,1034,5552,4437,1331,3477,2800,28133,57202,17925,2300,3000,48,,,,4181,700,500,40,30,450,46340,3850,40002,607,500,800,5535,29700,7794,,14494,31990,,74683,,6684,784,3173,11512,909,1234,775,2407,9951,4697,5148,2568,9324,2068,25677,10629,17484,83281,794,21199,6339,10389,4401,28279,7308,7795
