Year,Indicator,Value
1951,HGHerringR_Med,116.5905
1952,HGHerringR_Med,215.627
1953,HGHerringR_Med,1077.59
1954,HGHerringR_Med,172.183
1955,HGHerringR_Med,156.627
1956,HGHerringR_Med,179.157
1957,HGHerringR_Med,142.908
1958,HGHerringR_Med,285.285
1959,HGHerringR_Med,98.7313
1960,HGHerringR_Med,301.7325
1961,HGHerringR_Med,466.88
1962,HGHerringR_Med,403.607
1963,HGHerringR_Med,280.1715
1964,HGHerringR_Med,217.022
1965,HGHerringR_Med,602.3915
1966,HGHerringR_Med,84.7522
1967,HGHerringR_Med,66.23325
1968,HGHerringR_Med,102.1565
1969,HGHerringR_Med,112.3695
1970,HGHerringR_Med,194.572
1971,HGHerringR_Med,231.51
1972,HGHerringR_Med,334.016
1973,HGHerringR_Med,292.0545
1974,HGHerringR_Med,285.6795
1975,HGHerringR_Med,97.9274
1976,HGHerringR_Med,99.9011
1977,HGHerringR_Med,124.5685
1978,HGHerringR_Med,62.79045
1979,HGHerringR_Med,874.105
1980,HGHerringR_Med,153.9335
1981,HGHerringR_Med,69.8274
1982,HGHerringR_Med,62.56555
1983,HGHerringR_Med,463.749
1984,HGHerringR_Med,252.5595
1985,HGHerringR_Med,75.71025
1986,HGHerringR_Med,106.46
1987,HGHerringR_Med,709.146
1988,HGHerringR_Med,350.452
1989,HGHerringR_Med,168.945
1990,HGHerringR_Med,77.85205
1991,HGHerringR_Med,328.5835
1992,HGHerringR_Med,33.6059
1993,HGHerringR_Med,27.43955
1994,HGHerringR_Med,81.61485
1995,HGHerringR_Med,271.8895
1996,HGHerringR_Med,308.322
1997,HGHerringR_Med,734.2835
1998,HGHerringR_Med,50.0417
1999,HGHerringR_Med,149.5805
2000,HGHerringR_Med,152.48
2001,HGHerringR_Med,159.0305
2002,HGHerringR_Med,397.9895
2003,HGHerringR_Med,91.0833
2004,HGHerringR_Med,277.121
2005,HGHerringR_Med,79.8853
2006,HGHerringR_Med,283.0475
2007,HGHerringR_Med,68.71715
2008,HGHerringR_Med,309.264
2009,HGHerringR_Med,57.1596
2010,HGHerringR_Med,227.997
2011,HGHerringR_Med,152.7215
2012,HGHerringR_Med,613.4585
2013,HGHerringR_Med,83.6114
2014,HGHerringR_Med,131.9195
2015,HGHerringR_Med,90.9778
2016,HGHerringR_Med,184.6515
2017,HGHerringR_Med,262.786
2018,HGHerringR_Med,59.6853
2019,HGHerringR_Med,922.6705
2020,HGHerringR_Med,166.8155
1951,HGHerringR_LowerCI,60.433645
1952,HGHerringR_LowerCI,121.2014
1953,HGHerringR_LowerCI,693.14345
1954,HGHerringR_LowerCI,98.89877
1955,HGHerringR_LowerCI,85.840515
1956,HGHerringR_LowerCI,113.2809
1957,HGHerringR_LowerCI,91.371955
1958,HGHerringR_LowerCI,181.5919
1959,HGHerringR_LowerCI,48.812335
1960,HGHerringR_LowerCI,157.3345
1961,HGHerringR_LowerCI,262.32835
1962,HGHerringR_LowerCI,235.6703
1963,HGHerringR_LowerCI,145.40445
1964,HGHerringR_LowerCI,61.331275
1965,HGHerringR_LowerCI,254.9254
1966,HGHerringR_LowerCI,28.122615
1967,HGHerringR_LowerCI,20.438245
1968,HGHerringR_LowerCI,49.83107
1969,HGHerringR_LowerCI,59.94357
1970,HGHerringR_LowerCI,115.10485
1971,HGHerringR_LowerCI,146.82185
1972,HGHerringR_LowerCI,219.68725
1973,HGHerringR_LowerCI,190.17455
1974,HGHerringR_LowerCI,192.74985
1975,HGHerringR_LowerCI,64.491205
1976,HGHerringR_LowerCI,63.246115
1977,HGHerringR_LowerCI,74.009895
1978,HGHerringR_LowerCI,34.06766
1979,HGHerringR_LowerCI,460.105
1980,HGHerringR_LowerCI,80.71001
1981,HGHerringR_LowerCI,38.73927
1982,HGHerringR_LowerCI,35.520525
1983,HGHerringR_LowerCI,271.5378
1984,HGHerringR_LowerCI,150.00285
1985,HGHerringR_LowerCI,45.31667
1986,HGHerringR_LowerCI,68.562005
1987,HGHerringR_LowerCI,483.28315
1988,HGHerringR_LowerCI,244.61505
1989,HGHerringR_LowerCI,115.77885
1990,HGHerringR_LowerCI,51.74412
1991,HGHerringR_LowerCI,225.3733
1992,HGHerringR_LowerCI,22.05177
1993,HGHerringR_LowerCI,18.108675
1994,HGHerringR_LowerCI,56.270165
1995,HGHerringR_LowerCI,191.35535
1996,HGHerringR_LowerCI,217.72355
1997,HGHerringR_LowerCI,524.3575
1998,HGHerringR_LowerCI,33.20954
1999,HGHerringR_LowerCI,101.82835
2000,HGHerringR_LowerCI,101.1951
2001,HGHerringR_LowerCI,105.466
2002,HGHerringR_LowerCI,271.4699
2003,HGHerringR_LowerCI,60.03322
2004,HGHerringR_LowerCI,193.5531
2005,HGHerringR_LowerCI,52.78687
2006,HGHerringR_LowerCI,199.67735
2007,HGHerringR_LowerCI,45.547595
2008,HGHerringR_LowerCI,215.12025
2009,HGHerringR_LowerCI,37.28566
2010,HGHerringR_LowerCI,159.7521
2011,HGHerringR_LowerCI,104.66885
2012,HGHerringR_LowerCI,436.98755
2013,HGHerringR_LowerCI,56.317715
2014,HGHerringR_LowerCI,87.912805
2015,HGHerringR_LowerCI,61.406905
2016,HGHerringR_LowerCI,126.68885
2017,HGHerringR_LowerCI,177.7092
2018,HGHerringR_LowerCI,32.366265
2019,HGHerringR_LowerCI,544.017
2020,HGHerringR_LowerCI,43.255545
1951,HGHerringR_UpperCI,243.8005
1952,HGHerringR_UpperCI,407.7754
1953,HGHerringR_UpperCI,1795.2925
1954,HGHerringR_UpperCI,303.65955
1955,HGHerringR_UpperCI,270.74495
1956,HGHerringR_UpperCI,279.4095
1957,HGHerringR_UpperCI,222.3553
1958,HGHerringR_UpperCI,472.36695
1959,HGHerringR_UpperCI,202.48535
