stock,stockName,jurisdiction,oceanStartAge,terminalNetAge,maxAge,smoltAgeCode,smoltType,adultRunTimingCode,adultRunTiming,region,country,comments,lat,long
ACI,Alaska Central Inside,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,,56.61303,-132.8187
ADM,Alaska Deer Mountain,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,,55.34161,-131.64106
AHC,Alaska Herring Cove,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,,55.3271,-131.528
AKS,Alaska Spring,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,"Aggregate stock composed of ACI, ADM, AHC, ALP, ANB",na,na
ALP,Little Port Walter,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,,56.38411,-134.64734
ANB,Alaska Neets Bay,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,,55.78665,-131.48869
ASI,Alaska Southern Inside,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,Can't seem to find information on this SEAK stock,na,na
ATN,Atnarko River Summer,BC,2,4,6,0,oceantype,2,Summer,CBC,CA,ERA stock,52.376631,-126.093529
ATS,Atnarko River Spring,BC,2,4,6,1,streamtype,2,Summer,CBC,CA,Special purpose - not a CDN ERA indicator,52.376631,-126.093529
BIG,Big Creek Tule Chinook,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
BQR,Big Qualicum River Fall,BC,2,4,5,0,oceantype,3,Fall,ECVI,CA,ERA stock,49.39884,-124.609144
CAP,Capilano River Fall,BC,2,4,5,0,oceantype,3,Fall,SCST,CA,Special purpose - not a CDN ERA indicator,na,na
CHI,Chilliwack  River Fall (Harrison  R Fall Stock),BC,2,4,5,0,oceantype,3,Fall,LFR,CA,ERA stock,49.125664,-122.098166
CHK,Chilkat Spring,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,Wild smolt tagging,59.302,-135.739
CHM,Chickamin Spring,AK,3,5,6,1,streamtype,1,Spring,SEAK,US,Wild smolt tagging,55.8231,-130.903
CHU,Chilliwack River Fall (Unmarked),BC,2,4,5,0,oceantype,3,Fall,LFR,CA,Special purpose - not a CDN ERA indicator,49.125664,-122.098166
CKO,Chilko River Spring,BC,3,5,6,0,oceantype,1,Spring,MFR,CA,Special purpose - not a CDN ERA indicator,na,na
COW,Cowichan River Fall,BC,2,4,5,0,oceantype,3,Fall,ECVI,CA,ERA stock,48.753551,-123.637015
CWF,Cowlitz Fall Tule,CR,2,4,5,0,oceantype,3,Fall,LCOLR,US,,46.215,-123.862
CWS,Cowlitz Spring,CR,3,5,6,1,streamtype,1,Spring,LCOLR,US,,46.215,-123.862
DOM,Dome Creek Spring,BC,3,5,6,1,streamtype,1,Spring,UFR,CA,ERA stock,53.754022,-121.023499
ELK,Elk River,OR,2,4,5,0,oceantype,3,Fall,ORCST,US,,42.8079,-124.5309
ELW,Elwha Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,JFUCA,US,,48.1455,-123.566
GAD,George Adams Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,HOODC,US,Skokomish,47.3342,-123.1179
GRN,Green River Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.5676,-122.3486
GRO,Grovers Creek Fall Fingerling,WA,2,4,5,0,oceantype,3,Fall,SPGSD,US,,47.5676,-122.3486
