Year,Total,Total (excl SEAK),Puget Sound,FE+PS+URB,WCVI,Big 5,WCVI+FL+OC,SRKW_N,SRKW_Birth,SRKW_Death,SRKW_birthrate,SRKW_mortrate,SRKW_MortInd,NRKW_N,NRKW_Birth,NRKW_Death,NRKW_birthrate,NRKW_mortrate,WCVI t-1,Coastwide_Index,Coastwide_Index.lag1,NRKW_Index,NRKW_Index.lag1,SRKW_Index,SRKW_Index.lag1,WCVI_Index,WCVI_Index.lag1,JC_WCVI_Index,JC_WCVI_Index.lag1
1980,"1,203,711","1,194,004","141,586","223,034","101,538","618,145","418,398",84,3,3,0.035714286,0.035714286,0.992063492,149,8,1,0.053691275,0.006711409,60945,1.080103909,1.199366498,0.85436618,0.99596249,1.121256542,1.178796251,0.892422085,0.535648368,0.881648937,0.529182124
1981,"1,169,582","1,158,360","127,014","189,635","95,855","610,615","440,400",82,1,4,0.012195122,0.048780488,1.35501355,156,6,4,0.038,0.026,101538,1.049479559,1.080103909,0.726426153,0.85436618,1.180219268,1.121256542,0.842473941,0.892422085,0.832303757,0.881648937
1982,"1,232,148","1,221,029","125,953","180,362","171,707","670,083","508,465",79,1,3,0.012658228,0.037974684,1.054852321,158,5,3,0.032,0.019,95855,1.10562076,1.049479559,0.690904494,0.726426153,1.362625318,1.180219268,1.509140607,0.84247394,1.490922552,0.832303757
1983,"1,188,448","1,174,663","138,878","211,145","182,846","734,958","544,413",76,0,5,0,0.065789474,1.82748538,160,7,4,0.044,0.025,171707,1.066408241,1.10562076,0.808823529,0.690904494,1.458961654,1.362625318,1.607041783,1.509140607,1.587641883,1.490922552
1984,"1,323,238","1,307,815","153,707","278,484","151,996","843,487","590,565",74,3,2,0.040540541,0.027027027,0.750750751,163,5,5,0.031,0.031,182846,1.187356879,1.066408241,1.066775968,0.808823529,1.582643487,1.458961654,1.335899735,1.607041783,1.31977301,1.587641883
1985,"1,215,562","1,199,250","135,248","289,653","88,084","758,707","502,120",77,5,3,0.064935065,0.038961039,1.082251082,163,10,3,0.061,0.018,151996,1.090737949,1.187356879,1.109560547,1.066775968,1.345621478,1.582643487,0.774174269,1.335899735,0.764828586,1.31977301
1986,"1,278,693","1,260,447","123,758","335,530","66,658","741,033","442,340",81,7,1,0.086419753,0.012345679,0.342935528,170,9,2,0.053,0.012,88084,1.147386131,1.090737949,1.285299481,1.109560547,1.185418236,1.345621478,0.585860184,0.774174269,0.578787792,0.764828586
1987,"1,553,371","1,534,810","110,662","381,238","60,717","727,107","382,529",84,4,1,0.047619048,0.011904762,0.330687831,177,11,4,0.062,0.023,66658,1.393857902,1.147386131,1.460391033,1.285299481,1.025131917,1.185418236,0.533644466,0.585860184,0.527202412,0.578787792
1988,"1,483,370","1,468,110","118,072","376,360","109,780","726,945","385,109",85,2,2,0.023529412,0.023529412,0.653594771,182,7,1,0.038,0.005,60717,1.331045189,1.393857902,1.441705101,1.460391033,1.032046008,1.025131917,0.964861397,0.533644466,0.953213775,0.527202412
1989,"1,300,421","1,290,017","132,425","307,754","140,389","730,074","455,769",85,2,3,0.023529412,0.035294118,0.980392157,185,7,5,0.038,0.027,109780,1.166882919,1.331045189,1.178899223,1.441705101,1.221406348,1.032046008,1.233885285,0.964861397,1.218990059,0.953213775
