Estimate,Mean,2.5th,97.5th,Region
1970,2399.959846,2098.007308,2672.226841,SOG
1971,2707.61523,2389.116459,2996.946224,SOG
1972,3054.709537,2712.042328,3359.326507,SOG
1973,3446.298519,3096.599765,3757.231573,SOG
1974,3888.086029,3545.044082,4220.690517,SOG
1975,4386.507108,4034.852358,4731.134888,SOG
1976,4948.82171,4575.976716,5306.402673,SOG
1977,5583.220432,5197.0723,5960.015239,SOG
1978,6298.943782,5893.413489,6705.207197,SOG
1979,7106.416655,6667.504438,7548.406416,SOG
1980,8017.399839,7526.054179,8503.309599,SOG
1981,9045.160346,8470.70846,9567.323873,SOG
1982,10204.66187,9533.8058,10811.82217,SOG
1983,11512.77472,10726.06642,12210.79232,SOG
1984,12988.49858,12075.16856,13772.33195,SOG
1985,14653.17345,13554.85805,15570.22574,SOG
1986,16530.60182,15211.45484,17565.9203,SOG
1987,18646.85557,17065.93107,19798.68574,SOG
1988,21029.11424,19090.45559,22340.06914,SOG
1989,23701.68616,21385.29895,25199.61366,SOG
1990,26674.13861,23802.47772,28559.03087,SOG
1991,29908.63177,26284.38294,32224.50118,SOG
1992,33240.36814,28802.06366,36251.34017,SOG
1993,36238.32972,30834.05139,39860.85981,SOG
1994,38199.00434,32556.09012,41912.96465,SOG
1995,38842.61751,33658.1488,41405.33587,SOG
1996,38900.7073,34626.27222,42160.24239,SOG
1997,38901.61092,34399.78256,41589.87637,SOG
1998,38901.61907,35185.3093,42023.5559,SOG
1999,38901.61914,34799.40637,41736.1574,SOG
2000,38901.61914,35088.97547,42021.04664,SOG
2001,38901.61914,35142.98343,41901.50716,SOG
2002,38901.61914,35044.70642,42008.66463,SOG
2003,38901.61914,34635.75571,42015.95536,SOG
2004,38901.61914,35673.66272,41923.87676,SOG
2005,38901.61914,34837.42718,41995.71334,SOG
2006,38901.61914,35188.73149,42021.20084,SOG
2007,38901.61914,34973.43119,42028.85297,SOG
2008,38901.61914,34876.05319,41943.0751,SOG
2009,38901.61914,34866.69614,42027.26521,SOG
2010,38901.61914,34824.12843,42021.20084,SOG
2011,38901.61914,35640.03492,41977.02623,SOG
2012,38901.61914,34607.22263,42021.20084,SOG
2013,38901.61914,34594.84785,42001.28248,SOG
2014,38901.61914,34810.0351,42256.57262,SOG
1966,140.0481844,121.0965859,159.4025536,FraserR
1967,157.0149121,138.7067831,175.9244785,FraserR
1968,175.8369498,157.2935707,195.018015,FraserR
1969,196.6665545,177.4715996,216.2010738,FraserR
1970,219.6557878,199.5359204,240.6307743,FraserR
1971,244.9528604,223.5209081,267.5598051,FraserR
1972,272.6976582,249.3749522,297.8564779,FraserR
1973,303.0164311,276.576661,332.0498158,FraserR
1974,336.0156838,305.6552913,367.7290352,FraserR
1975,371.77538,338.4673315,406.2225087,FraserR
1976,410.3416622,373.4281794,446.8752436,FraserR
1977,451.7193952,409.9187536,491.0210306,FraserR
1978,495.8649498,450.0746442,536.8097958,FraserR
1979,542.6797518,493.9308325,584.4880974,FraserR
1980,592.0051954,539.8745693,634.3648101,FraserR
1981,643.6195618,590.1206816,684.313171,FraserR
1982,697.2375516,641.773616,735.8316457,FraserR
1983,752.512934,697.0128807,789.4486826,FraserR
1984,809.0446174,754.911408,845.5672885,FraserR
1985,866.3861731,811.7475191,903.0169366,FraserR
1986,924.0585134,870.7297934,963.887941,FraserR
1987,981.5650824,926.2441582,1026.664396,FraserR
1988,1038.408612,980.4044707,1090.547757,FraserR
1989,1094.108282,1031.979232,1157.661979,FraserR
1990,1148.216038,1082.109622,1219.857772,FraserR
1991,1200.330892,1127.91407,1281.074957,FraserR
1992,1250.110244,1171.654831,1335.231164,FraserR
1993,1297.277595,1214.265846,1391.148114,FraserR
1994,1341.626368,1253.577796,1443.771084,FraserR
1995,1383.019998,1290.202105,1484.289128,FraserR
