"year","metric","anomaly","time_step","class","region"
1854,"prime_anom_pdo",-0.241217705040742,"seasonal","physical","basin"
1854,"prime_anom_npgo",NA,"seasonal","physical","basin"
1854,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1854,"annual_anom_pdo",-0.856863845871569,"annual","physical","basin"
1854,"annual_anom_npgo",NA,"annual","physical","basin"
1854,"annual_anom_sst_arc",NA,"annual","physical","basin"
1854,"seal_anom",NA,"annual","predator","sog"
1854,"nrkw_anom",NA,"annual","predator","basin"
1854,"srkw_anom",NA,"annual","predator","sog"
1854,"rkw_anom",NA,"annual","predator","basin"
1854,"bi_anom",NA,"annual","physical","basin"
1854,"fish_diet_anom",NA,"annual","diet","wcvi"
1854,"boreal_anom",NA,"annual","diet","wcvi"
1854,"south_anom",NA,"annual","diet","wcvi"
1854,"zp_env_anom",NA,"annual","diet","sog"
1854,"fish_env_anom",NA,"annual","diet","sog"
1854,"cci_anom",NA,"seasonal","diet","ca_current"
1855,"prime_anom_pdo",-1.31843396315987,"seasonal","physical","basin"
1855,"prime_anom_npgo",NA,"seasonal","physical","basin"
1855,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1855,"annual_anom_pdo",-0.761412147672287,"annual","physical","basin"
1855,"annual_anom_npgo",NA,"annual","physical","basin"
1855,"annual_anom_sst_arc",NA,"annual","physical","basin"
1855,"seal_anom",NA,"annual","predator","sog"
1855,"nrkw_anom",NA,"annual","predator","basin"
1855,"srkw_anom",NA,"annual","predator","sog"
1855,"rkw_anom",NA,"annual","predator","basin"
1855,"bi_anom",NA,"annual","physical","basin"
1855,"fish_diet_anom",NA,"annual","diet","wcvi"
1855,"boreal_anom",NA,"annual","diet","wcvi"
1855,"south_anom",NA,"annual","diet","wcvi"
1855,"zp_env_anom",NA,"annual","diet","sog"
1855,"fish_env_anom",NA,"annual","diet","sog"
1855,"cci_anom",NA,"seasonal","diet","ca_current"
1856,"prime_anom_pdo",-1.35788131909099,"seasonal","physical","basin"
1856,"prime_anom_npgo",NA,"seasonal","physical","basin"
1856,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1856,"annual_anom_pdo",-0.0794627927596356,"annual","physical","basin"
1856,"annual_anom_npgo",NA,"annual","physical","basin"
