Year,TotalZooplBiomAnom,TotalFishBiomAnom
1996,0.126646527,-0.258198838
1997,0.078564629,-0.233170849
1998,0.280331313,-0.163509357
1999,0.229590472,-1.073169072
2000,0.138049461,0.320794726
2001,0.135328081,0.089761371
2002,0.120163324,-0.216500823
2003,-0.107204819,-0.252942565
2004,-0.202878658,-0.174476424
2005,-0.216488203,0.065697848
2006,-0.303437545,-0.221735674
2007,-0.053530781,-0.126199015
2008,-0.043561272,-0.247676383
2009,-0.078675233,-0.043551053
2010,-0.0157171,-0.086012807
2011,0.154169715,0.057546803
2012,-0.139618565,-0.00130696
2013,-0.073876813,-0.093547765
2014,-0.067270599,0.179835384
2015,0.075514192,0.168561815
2016,0.092225956,0.261172477
2017,-0.017027074,0.248658455
2018,0.015098051,0.044562135
