"year","stock","j_group3b","esc"
1975,"situk","north_streamtype",NA
1976,"situk","north_streamtype",1421
1977,"situk","north_streamtype",1732
1978,"situk","north_streamtype",808
1979,"situk","north_streamtype",1284
1980,"situk","north_streamtype",905
1981,"situk","north_streamtype",702
1982,"situk","north_streamtype",434
1983,"situk","north_streamtype",592
1984,"situk","north_streamtype",1726
1985,"situk","north_streamtype",1521
1986,"situk","north_streamtype",2067
1987,"situk","north_streamtype",1379
1988,"situk","north_streamtype",868
1989,"situk","north_streamtype",637
1990,"situk","north_streamtype",628
1991,"situk","north_streamtype",889
1992,"situk","north_streamtype",1595
1993,"situk","north_streamtype",952
1994,"situk","north_streamtype",1271
1995,"situk","north_streamtype",4330
1996,"situk","north_streamtype",1800
1997,"situk","north_streamtype",1878
1998,"situk","north_streamtype",924
1999,"situk","north_streamtype",1461
2000,"situk","north_streamtype",1785
2001,"situk","north_streamtype",562
2002,"situk","north_streamtype",1000
2003,"situk","north_streamtype",2163
2004,"situk","north_streamtype",756
2005,"situk","north_streamtype",610
2006,"situk","north_streamtype",747
2007,"situk","north_streamtype",677
2008,"situk","north_streamtype",413
2009,"situk","north_streamtype",902
2010,"situk","north_streamtype",166
2011,"situk","north_streamtype",240
2012,"situk","north_streamtype",322
2013,"situk","north_streamtype",912
2014,"situk","north_streamtype",475
2015,"situk","north_streamtype",174
2016,"situk","north_streamtype",329
2017,"situk","north_streamtype",1187
2018,"situk","north_streamtype",420
1975,"alsek","north_streamtype",NA
1976,"alsek","north_streamtype",5282
1977,"alsek","north_streamtype",12706
1978,"alsek","north_streamtype",12034
1979,"alsek","north_streamtype",17354
1980,"alsek","north_streamtype",10718
1981,"alsek","north_streamtype",8587
1982,"alsek","north_streamtype",9584
1983,"alsek","north_streamtype",10344
1984,"alsek","north_streamtype",7213
1985,"alsek","north_streamtype",6087
1986,"alsek","north_streamtype",11069
1987,"alsek","north_streamtype",11276
1988,"alsek","north_streamtype",8852
1989,"alsek","north_streamtype",10178
1990,"alsek","north_streamtype",8775
1991,"alsek","north_streamtype",11667
1992,"alsek","north_streamtype",5773
1993,"alsek","north_streamtype",13917
1994,"alsek","north_streamtype",15970
1995,"alsek","north_streamtype",24772
1996,"alsek","north_streamtype",15922
1997,"alsek","north_streamtype",12494
1998,"alsek","north_streamtype",6833
1999,"alsek","north_streamtype",14615
2000,"alsek","north_streamtype",7905
2001,"alsek","north_streamtype",6705
2002,"alsek","north_streamtype",5569
2003,"alsek","north_streamtype",5904
2004,"alsek","north_streamtype",7083
2005,"alsek","north_streamtype",4390
2006,"alsek","north_streamtype",2321
2007,"alsek","north_streamtype",2827
2008,"alsek","north_streamtype",1885
2009,"alsek","north_streamtype",6239
2010,"alsek","north_streamtype",9526
2011,"alsek","north_streamtype",6850
2012,"alsek","north_streamtype",3027
2013,"alsek","north_streamtype",4992
2014,"alsek","north_streamtype",3357
2015,"alsek","north_streamtype",5697
2016,"alsek","north_streamtype",2574
2017,"alsek","north_streamtype",1718
2018,"alsek","north_streamtype",4312
1975,"taku","north_streamtype",12920
1976,"taku","north_streamtype",24582
1977,"taku","north_streamtype",29497
1978,"taku","north_streamtype",17124
1979,"taku","north_streamtype",21617
1980,"taku","north_streamtype",39239
1981,"taku","north_streamtype",49559
1982,"taku","north_streamtype",23848
1983,"taku","north_streamtype",9794
1984,"taku","north_streamtype",20778
1985,"taku","north_streamtype",35916
1986,"taku","north_streamtype",38111
1987,"taku","north_streamtype",28935
1988,"taku","north_streamtype",44524
1989,"taku","north_streamtype",40329
1990,"taku","north_streamtype",52142
1991,"taku","north_streamtype",51645
1992,"taku","north_streamtype",55889
1993,"taku","north_streamtype",66125
1994,"taku","north_streamtype",48368
1995,"taku","north_streamtype",33805
1996,"taku","north_streamtype",79019
1997,"taku","north_streamtype",114938
1998,"taku","north_streamtype",31039
1999,"taku","north_streamtype",16786
2000,"taku","north_streamtype",34997
2001,"taku","north_streamtype",46644
2002,"taku","north_streamtype",55044
2003,"taku","north_streamtype",36435
2004,"taku","north_streamtype",75032
2005,"taku","north_streamtype",38599
2006,"taku","north_streamtype",42296
2007,"taku","north_streamtype",14749
2008,"taku","north_streamtype",26645
2009,"taku","north_streamtype",29797
2010,"taku","north_streamtype",28769
2011,"taku","north_streamtype",27523
2012,"taku","north_streamtype",19429
