Station,Year,Month,SouthernLog10Biomass,NorthernLog10Biomass,SouthernBiomassAnomaly,NorthernBiomassAnomaly,CCI,CCI_Anom
NH05,1996,5,0.724622222,0.496733333,0.380507973,-1.207675,1.45561,1.792382056
NH05,1996,6,0.392877778,1.592933333,0.150425648,-0.393399367,0.57054,1.261172022
NH05,1996,7,0.113605556,2.27645,-0.100648158,0.042712685,-0.50737,0.181878244
NH05,1996,8,0.211394444,2.14045,-0.03305787,-0.216536265,-0.461875,0.289239889
NH05,1996,9,0.389055556,2.1811,0.050256677,0.113593086,-0.3319,0.245428922
NH05,1996,10,0.419205556,1.877383333,0.001065586,0.234744907,0.015,0.208771
NH05,1996,11,0.662255556,1.041766667,0.07490216,-0.097492593,0.84231,0.454771667
NH05,1996,12,0.644833333,1.322066667,0.03069,0.315293333,1.00747,0.180733333
NH05,1997,2,0.726177778,1.181566667,0.020690509,-0.019424653,1.08823,0.203319222
NH05,1997,3,0.521,1.639966667,-0.040848312,0.304264706,0.62588,0.120952722
NH05,1997,4,0.620183333,1.293166667,0.128544227,-0.203883987,0.8444,0.601427
NH05,1997,5,0.245685185,1.787266667,-0.098429064,0.082858333,-0.000643333,0.336128722
NH05,1997,6,0.135966667,1.18585,-0.106485463,-0.800482701,-1.000665,-0.310032978
NH05,1997,7,0.298366667,1.898286667,0.084112953,-0.335450648,-0.378072,0.311176244
NH05,1997,8,0.436590741,2.040322222,0.192138426,-0.316664043,-0.143288333,0.607826556
NH05,1997,9,0.770583333,1.38295,0.431784455,-0.684556914,0.80118,1.378508922
NH05,1997,10,0.8081,0.271966667,0.389960031,-1.370671759,1.33102,1.524791
NH05,1997,11,0.923211111,0.465916667,0.335857716,-0.673342593,1.46019,1.072651667
NH05,1997,12,0.684077778,0,0.069934444,-1.006773333,2.05901,1.232273333
NH05,1998,1,0.896622222,0.233033333,0.089466204,-0.9116625,1.85567,0.792711818
NH05,1998,3,0.846261111,0.327583333,0.2844128,-1.008118627,1.861555,1.356627722
NH05,1998,4,0.757438889,0.293566667,0.265799782,-1.203483987,1.5525425,1.3095695
NH05,1998,5,0.788344444,0.710666667,0.444230195,-0.993741667,0.969625,1.306397056
NH05,1998,6,0.824940741,0.831688889,0.582488611,-1.154643812,0.869986667,1.560618689
NH05,1998,7,0.922977778,1.680511111,0.708724064,-0.553226204,0.50687,1.196118244
NH05,1998,8,0.939740741,1.526088889,0.695288426,-0.830897377,0.506533333,1.257648222
NH05,1998,9,0.901588889,1.816041667,0.56279001,-0.251465247,0.337615,0.914943922
NH05,1998,10,0.652877778,1.347266667,0.234737809,-0.295371759,0.25375,0.447521
NH05,1998,11,0.838905556,1.438683333,0.25155216,0.299424074,0.82221,0.434671667
NH05,1998,12,0.508455556,0.487866667,-0.105687778,-0.518906667,1.25168,0.424943333
NH05,1999,2,0.657922222,1.298266667,-0.047565046,0.097275347,1.0237,0.138789222
NH05,1999,3,0.538777778,0.7005,-0.023070534,-0.635201961,1.31258,0.807652722
NH05,1999,4,0.454437037,0.957966667,-0.03720207,-0.539083987,0.574186667,0.331213667
NH05,1999,5,0.173283333,1.7397,-0.170830916,0.035291667,-0.49124,-0.154467944
NH05,1999,6,0,2.316583333,-0.24245213,0.330250633,-1.14006,-0.449427978
