Stock Country,stock_code,run_year,brood_year,method,cwt_rel_total,rel_total,Age,Cohort Size BNM,Cohort Size ANM,AK W/S T,AK JNO T,AK JNI T,AK JLO T,AK JLI T,AK FALL T,TAK TERM T,NORTH T,CENTRL T,WCVI F/W T,WCVI SPR T,WCVI SUM T,N FALCON T,S FALCON T,TOR TERM T,GEO ST T,ALASKA N,NORTH N,TNBC TERM N,CENTRL N,TCBC TERM N,TWCVI TERM N,WCVI N,GEO ST N,PGSDN N,TPGSDN TERM N,US JF N,PGSDO N,TPGSDO TERM N,WA CST N,TCOL R N,TAK TERM N,TBR TERM N,TNORTH FN,TCENTRAL FN,TGEO ST FN,TFRAS FN,TPS FN,TWAC FN,JNST N,BC JF N,FRASER N,TFRASER TERM N,ALASKA S,CBC S,TCBC TERM S,NBC AABM S,NBC ISBM S,TNBC TERM S,WCVI AABM S,WCVI ISBM S,TWCVI TERM S,N FALCON S,TNF TERM S,S FALCON S,TSF TERM S,PGSDN S,TPGSDN TERM S,PGSDO S,TPGSDO TERM S,JNST S,TJNST TERM S,GEO ST S,TGEO ST TERM S,BC JF S,TBC JF TERM S,TCOL R S,TAK TERM S,TBR TERM S,TNORTH FS,TCENTRAL FS,TWCVI FS,TFRASER FS,TGS FS,TPS FS,TSF TERM FS,TCAN TBR N,CA ESC STRAY,US ESC STRAY,ESCAPE,AEQ Rate,Mat Rate,Youngest Age,Stock MinAge,Stock NAges,CompleteBrYr,LastBrRY,ProdExpFactor,Esc_exp,Decade_BY,Decade_CY,LatestRY,Preterm CA,Preterm US,Term CA,Term US,Ocean Mortality,True Terminal Mortality,Preterm Ocean Net,Total Terminal Mortality,Mature Term Run,TotEst,CohSurvival,ER_PreTerminal,Survival_fromFisheries,MRE_Preterm_annual_est,AEQ_Preterm,TermMort_exp,MRE_Preterm_annual_exp,AEQ_Preterm_exp,Terminal Survival,Marine Survival
CA,ATN,1991,1986,CALENDAR YEAR METHOD,209006,1815336,5,556.5,500.85,7.1,2,6.1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5.3,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0,364,1,1,N,2,4,Y,1991,8.685568835,3161.547056,80s,90s,2020,13.9,17.7,105.3,0,31.6,105.3,0,105.3,469.3,500.9,1.00009983,0.063092742,0.936907258,31.6,31.6,914.5903984,274.4639752,274.4639752,0.775623269,0.002662603
CA,ATN,1990,1986,CALENDAR YEAR METHOD,209006,1815336,4,795.2,636.16,2,3,1,13.3,2,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.9092,0.0915,N,2,4,Y,1991,8.685568835,373.4794599,80s,90s,2020,2.1,21.3,13,0,23.4,13,0,13,56,79.4,0.124811368,0.036783199,0.963216801,2.1411,21.27528,112.9123949,18.59667143,184.7879089,0.767857143,0.003804675
CA,ATN,1989,1986,CALENDAR YEAR METHOD,209006,1815336,3,1182.9,828.03,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,15.2,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7301,0.0103,N,2,4,Y,1991,8.685568835,0,80s,80s,2020,9.3,15.2,8.3,0,24.5,8.3,0,8.3,8.3,32.8,0.039612091,0.0295883,0.9704117,0.25235,17.88745,72.09022133,2.191803296,155.3626783,0,0.005659646
CA,ATN,1988,1986,CALENDAR YEAR METHOD,209006,1815336,2,1979.6,1187.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5111,0,Y,2,4,Y,1991,8.685568835,0,80s,80s,2020,0,4.8,0,0,4.8,0,0,0,0,4.8,0.00404122,0.00404122,0.99595878,0,2.45328,0,0,21.30813231,,0.009471498
CA,ATN,1992,1987,CALENDAR YEAR METHOD,154179,1960523,5,525.8,473.22,47.4,0,2,3.4,4.3,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8.6,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,1,1,N,2,4,Y,1992,12.71588867,3802.050714,80s,90s,2020,24.5,57.1,92.4,0,81.6,92.4,0,92.4,391.4,473,0.9995351,0.172435654,0.827564346,81.6,81.6,1174.948114,1037.616516,1037.616516,0.763924374,0.003410322
CA,ATN,1991,1987,CALENDAR YEAR METHOD,154179,1960523,4,889.8,711.84,2,0,17.2,10.3,0,0,0,8.2,3.1,0,0,3.1,0,0,0,0,0,2,0,0,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.9213,0.2128,N,2,4,Y,1992,12.71588867,1017.271094,80s,90s,2020,14.4,29.5,62.1,0,43.9,60.1,2,62.1,142.1,186,0.261294673,0.061671162,0.938328838,9.34192,40.44507,789.6566867,118.7908147,514.2950076,0.562983814,0.005771214
CA,ATN,1990,1987,CALENDAR YEAR METHOD,154179,1960523,3,1339,937.3,0.1,0.2,0.1,1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,4.5,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.7487,0.0443,N,2,4,Y,1992,12.71588867,368.7607716,80s,90s,2020,0.1,6,12.3,0,6.1,12.3,0,12.3,41.3,47.4,0.050570788,0.006508055,0.993491945,0.27023,4.56707,156.4054307,3.436214597,58.07435369,0.702179177,0.008684711
CA,ATN,1989,1987,CALENDAR YEAR METHOD,154179,1960523,2,2240.2,1344.12,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5241,0,Y,2,4,Y,1992,12.71588867,0,80s,80s,2020,1.7,3.4,0,0,5.1,0,0,0,0,5.1,0.003794304,0.003794304,0.996205696,0,2.67291,0,0,33.988426,,0.014529865
CA,ATN,1993,1988,CALENDAR YEAR METHOD,159255,1980353,5,802.7,722.43,71.6,0,0,3.2,0,3.7,0,8.3,9.5,0,0,5.1,0,0,0,0,0,2,0,0,105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3.1,9.6,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,460,1,1,N,2,4,Y,1993,12.43510722,5720.14932,80s,90s,2020,49.6,81.6,131.2,0,131.2,129.2,2,131.2,591.2,722.4,0.999958473,0.181609291,0.818390709,131.2,131.2,1631.486067,1631.486067,1631.486067,0.778078484,0.005040344
CA,ATN,1992,1988,CALENDAR YEAR METHOD,159255,1980353,4,1520,1216,8.2,3,5.1,3.4,2.2,7,0,11.6,43.8,0,0,3.1,0,0,0,0,0,0,0,0,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4.3,3.2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,222,0.9284,0.2839,N,2,4,Y,1993,12.43510722,2760.593802,80s,90s,2020,66,28.9,96.4,0,94.9,96.4,0,96.4,318.4,413.3,0.339884868,0.078042763,0.921957237,26.94211,88.10516,1198.744336,335.0280265,1095.597111,0.697236181,0.009544441
