stock,by,gen_time_nofishing,gen_time_fishing
ATN,1986,4.87,4.89
ATN,1987,4.67,4.66
ATN,1988,4.56,4.56
ATN,1989,4.59,4.59
ATN,1990,4.55,4.52
ATN,1991,4.41,4.45
ATN,1992,4.47,4.49
ATN,1993,4.42,4.35
ATN,1994,4.47,4.50
ATN,1995,4.37,4.34
ATN,1996,4.38,4.30
ATN,1997,4.50,4.43
ATN,1998,4.22,4.03
ATN,1999,4.56,4.49
ATN,2000,4.53,4.46
ATN,2001,4.64,4.68
ATN,2002,4.40,4.36
ATN,2005,4.30,4.22
ATN,2006,4.21,4.17
ATN,2007,4.44,4.36
ATN,2008,4.39,4.33
ATN,2009,4.23,4.21
ATN,2010,4.28,4.24
ATN,2011,4.24,4.19
ATN,2012,3.89,3.77
ATN,2013,4.16,4.07
ATN,2014,3.85,3.78
ATN,2015,4.00,4.01
ATS,1990,4.87,4.89
ATS,1991,4.79,4.86
ATS,1992,4.69,4.67
ATS,1993,4.74,4.69
ATS,2007,4.91,4.85
ATS,2008,4.77,4.79
ATS,2009,4.60,4.56
ATS,2010,4.75,4.76
ATS,2011,4.59,4.53
BQR,1974,3.67,3.32
BQR,1975,3.78,3.56
BQR,1976,3.47,3.13
BQR,1977,3.67,3.14
BQR,1978,3.88,3.50
BQR,1979,3.77,3.55
BQR,1980,3.54,3.09
BQR,1981,3.73,3.37
BQR,1982,3.76,3.41
BQR,1983,3.69,3.45
BQR,1984,3.82,3.62
BQR,1985,3.79,3.48
BQR,1986,3.64,3.36
BQR,1987,3.59,3.33
BQR,1988,3.47,3.04
BQR,1989,3.51,3.12
BQR,1990,3.68,3.38
BQR,1991,3.34,3.10
BQR,1992,3.40,3.18
BQR,1993,3.26,2.89
BQR,1994,3.57,3.50
BQR,1995,3.79,3.58
BQR,1996,3.59,3.30
BQR,1997,3.71,3.52
BQR,1998,3.50,3.27
BQR,1999,3.69,3.34
BQR,2000,3.59,3.31
BQR,2001,3.80,3.54
BQR,2002,3.28,3.08
BQR,2003,3.53,3.25
BQR,2004,3.42,3.28
BQR,2005,3.29,3.08
BQR,2006,3.46,3.21
BQR,2007,3.30,3.13
BQR,2008,3.44,3.26
BQR,2009,3.34,3.12
