"brood_year","stock","stock_name","smolt","run","region","lat","long","j_group","j_group2","j_group3","a_group","a_group2","survival","M"
"1971","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1972","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1973","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1974","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1975","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1976","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",NA,NA
"1977","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.0290493,3.53876089236008
"1978","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.1400107,1.96603643072192
"1979","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.1327097,2.01959124310369
"1980","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.156775,1.85294362255305
"1981","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.1670181,1.78965308920489
"1982","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.3087667,1.17516930343389
"1983","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.2130225,1.54635748504875
"1984","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.1403987,1.96326904669255
"1985","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.06660475,2.70897938265772
"1986","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.102239,2.28044206930841
"1987","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.04877561,3.0205248861442
"1988","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.02354355,3.74890338138347
"1989","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.01916665,3.95458348941254
"1990","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.01169506,4.44858874856155
"1991","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.02143664,3.84265367147875
"1992","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.01827915,4.00199421294315
"1993","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.0237264,3.74116692674347
"1994","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.02027093,3.89856743895897
"1995","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.05415201,2.91596018711046
"1996","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.106118,2.24320359647896
"1997","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.05807125,2.84608457408506
"1998","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.07967941,2.52974407035168
"1999","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.06444941,2.74187470402209
"2000","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.1181921,2.13544401211516
"2001","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.05784899,2.84991928444041
"2002","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.06902336,2.67331028095561
"2003","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.08327211,2.48564159979761
"2004","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.09654584,2.33773735751955
"2005","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.104515,2.25842467720839
"2006","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.08760381,2.43493078883491
"2007","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.06030226,2.80838569668101
"2008","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.0459471,3.08026454425044
"2009","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.05144046,2.96733025663552
"2010","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.08805041,2.42984578760556
"2011","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.06009781,2.81178187737279
"2012","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.01856048,3.98672068988953
"2013","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.05369323,2.92446835617841
"2014","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.03401945,3.38082285910572
"2015","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.02082945,3.87138742828253
"2016","AKB","Alaska Hatchery Springs - Behm Canal","streamtype","spring","SEAK",55.962925,-131.219612,"north","north","north_streamtype","offshore","offshore",0.000146877,8.82591505613729
