"stock","stock_name","gen_year_range","surv_year_range","size_year_range","lifehistory","run","juv_fine","juv_int1","juv_int2","juv_coarse","adult_fine","adult_int1","adult_int2","adult_coarse"
"AKB","Alaska Hatchery Springs - Behm Canal",NA,"1977-2016",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"AKS","Alaska Spring",NA,"1976-2016",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"ATN","Atnarko River","1986-2015","1986-2017","1975-2018","subyearling","summer","north","north","north","shelf","north","north","north","shelf"
"ATS","Atnarko Yearling","1990-2011","1990-2011","1990-2011","yearling","spring","north","north","north","shelf","north","north","north","shelf"
"CHK","Chilkat River","1999-2014","1999-2016","2000-2015","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"KLM","Kitsumkalum River Summer","1979-2013","1979-2016","1976-2018","subyearling","summer","north","north","north","shelf","north","north","north","shelf"
"KLY","Kitsumkalum Yearling","1999-2014","1999-2016","1984-2017","yearling","summer","north","north","north","shelf","north","north","north","shelf"
"NSA","NE Alaska Spring","1979-2014","1979-2017",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"SSA","SE Alaska Spring","1976-2014","1976-2017",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"STI","Stikine River",NA,"1998-2014","1999-2015","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"TAK","Taku River",NA,"1975-2015","1977-2015","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"TST","Transboundary Rivers","1975-2014","1975-2016",NA,"yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"UNU","Unuk River","1982-2014","1982-2016","1992-2015","yearling","spring","north","north","north","shelf","offshore","offshore","offshore","offshore"
"BQR","Big Qualicum River Fall","1974-2015","1974-2018","1973-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"CHI","Chilliwack River Fall","1981-2015","1981-2018","1981-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"COW","Cowichan River Fall","1985-2015","1985-2018","1979-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"DOM","Dome Creek Spring","1986-2002","1986-2002","1986-2002","yearling","spring","sog","sog","salish","salish","offshore","offshore","offshore","offshore"
"HAR","Harrison River","1981-2015","1981-2018","1980-2018","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
"MSH","Middle Shuswap River Summer","1985-2015","1985-2018","1985-2018","subyearling","summer","sog","sog","salish","salish","north","north","north","shelf"
"NAN","Nanaimo River Fall","1979-2004","1979-2004","1979-2004","subyearling","fall","sog","sog","salish","salish","sog","south","south","shelf"
