"BY","stock","surv","stockName","jurisdiction","smoltType","adultRunTiming","region","lat","long"
1971,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1972,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1973,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1974,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1975,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1976,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1977,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1978,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1979,"KLM",0.0098,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1980,"KLM",0.0165,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1981,"KLM",0.0246,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1982,"KLM",NA,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1983,"KLM",0.0126,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1984,"KLM",0.0162,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1985,"KLM",0.0093,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1986,"KLM",0.0021,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1987,"KLM",0.0174,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1988,"KLM",0.004,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1989,"KLM",0.0016,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1990,"KLM",0.003,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1991,"KLM",0.0099,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1992,"KLM",0.0096,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1993,"KLM",0.0073,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1994,"KLM",0.0101,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
1995,"KLM",0.0049,"Kitsumkalum River Summer","BC","oceantype","Summer","NBC","54.520959","-128.660892"
