STOCK,BROOD,ReleaseYear,age,n,TotalReleased.sum,avg.weight
ACI,1979,1981,2,3,42197,38.11
ACI,1980,1982,2,1,273849,42.79
ACI,1981,1983,2,1,137868,15.2
ACI,1982,1984,2,3,566000,21.33710247
ACI,1983,1985,2,3,135000,22.9
ACI,1984,1986,2,4,351000,10.17549858
ACI,1985,1987,2,3,427000,16.03138173
ACI,1986,1988,2,1,550000,16.6
ACI,1987,1989,2,2,479381,12.4
ACI,1988,1990,2,2,542258,9.51
ACI,1989,1991,2,3,434114,15.85045518
ACI,1990,1992,2,3,520353,12.06658303
ACI,1991,1993,2,2,462989,14.41
ACI,1992,1994,2,2,443392,8.54449433
ACI,1993,1995,2,2,451898,10.31651682
ACI,1994,1996,2,2,501282,17.6
ACI,1995,1997,2,5,539965,17.34174259
ACI,1996,1998,2,1,610090,15.18
ACI,1997,1999,2,2,670915,19.46008295
ACI,1998,2000,2,1,713569,9.9
ACI,1999,2001,2,6,595728,15.02597894
ACI,2000,2002,2,6,565240,13.76709559
ACI,2001,2003,2,6,727557,13.89176001
ACI,2002,2004,2,6,665287,19.3348772
ACI,2003,2005,2,6,587900,20.12162186
ACI,2004,2006,2,6,680810,16.1091429
ACI,2005,2007,2,5,542833,8.988981123
ACI,2006,2008,2,6,604715,8.299711186
ACI,2007,2009,2,6,551980,8.028737635
ACI,2008,2010,2,6,672900,12.16752118
ACI,2009,2011,2,5,717825,14.53967471
ACI,2010,2012,2,6,628300,13.31052045
ACI,2011,2013,2,9,807150,14.98616366
ACI,2012,2014,2,5,645917,18.51027965
ACI,2013,2015,2,6,589316,23.3397986
ACI,2014,2016,2,6,573117,23.34177829
ACI,2015,2017,2,3,563706,17.71421202
ACI,2016,2018,2,3,629965,17.52349337
ADM,1977,1979,2,2,18122,27.71967995
ADM,1978,1980,2,4,72064,15.64
ADM,1979,1981,2,5,65743,18.77167881
ADM,1980,1982,2,2,118848,17.89472806
ADM,1981,1983,2,4,146570,18.20695572
ADM,1984,1986,2,6,46374,27.19733471
ADM,1985,1987,2,1,42000,33
ADM,1986,1988,2,1,70000,26.6
ADM,1987,1989,2,6,166784,12.43847491
ADM,1988,1990,2,4,116178,23.34991582
ADM,1989,1991,2,4,98236,21.87895018
ADM,1990,1992,2,7,127819,23.17705341
ADM,1991,1993,2,7,71293,15.03176413
ADM,1992,1994,2,2,85066,20.55827663
ADM,1993,1995,2,2,98665,17.5
ADM,1994,1996,2,2,80761,25.8
ADM,1995,1997,2,2,97903,18.2
ADM,1996,1998,2,1,101316,25.1
ADM,1997,1999,2,1,51411,22
ADM,1998,2000,2,1,90258,20.7
ADM,1999,2001,2,1,89488,22.4
ADM,2000,2002,2,1,96026,26.3
ADM,2001,2003,2,1,97534,21.8
ADM,2002,2004,2,1,85948,26.2
ADM,2003,2005,2,2,77433,29
ADM,2004,2006,2,1,29889,33.3
ADM,2005,2007,2,1,55062,33.8
ADM,2006,2008,2,1,59899,23.9
ADM,2007,2009,2,1,52483,21.3
ADM,2015,2017,2,2,69990,27.18
AHC,1980,1982,2,1,145564,22.23
AHC,1983,1985,2,1,27200,29.8
AHC,1984,1986,2,10,170390,32.27903633
AHC,1985,1987,2,3,914600,31.61213645
AHC,1986,1988,2,3,1043300,31.06711397
AHC,1987,1989,2,3,757480,32.7403179
AHC,1988,1990,2,3,1080150,29.15795491
AHC,1989,1991,2,3,1173670,26.6430777
AHC,1990,1992,2,3,1323970,22.27169498
AHC,1991,1993,2,3,1171700,24.79767005
AHC,1992,1994,2,6,1271040,21.8957725
AHC,1993,1995,2,7,746946,25.99276012
AHC,1994,1996,2,3,238981,21.7532572
AHC,1995,1997,2,7,697171,22.18752171
AHC,1996,1998,2,7,713331,28.99881612
AHC,1997,1999,2,7,741929,26.59293342
AHC,1998,2000,2,7,779750,23.98922732
AHC,1999,2001,2,7,782650,26.66659874
AHC,2000,2002,2,7,689634,26.91913393
AHC,2001,2003,2,7,702430,27.43851487
AHC,2002,2004,2,7,715400,33.24033827
AHC,2003,2005,2,6,633000,27.09377676
AHC,2004,2006,2,7,720000,29.24204861
AHC,2005,2007,2,7,714700,22.00384637
AHC,2006,2008,2,3,727500,18.14412371
AHC,2007,2009,2,7,740000,17.27167568
AHC,2008,2010,2,7,768000,25.83369792
AHC,2009,2011,2,7,738000,25.34861111
AHC,2010,2012,2,7,720000,20.99159722
AHC,2011,2013,2,7,768000,19.36002604
AHC,2012,2014,2,5,535000,29.4679194
AHC,2013,2015,2,6,657000,27.90684932
AHC,2014,2016,2,7,747862,26.66400149
AHC,2015,2017,2,3,548981,22.92458701
AHC,2016,2018,2,3,557913,20.13861014
AKT,2014,2015,1,2,22000,9.1
AKT,2013,2015,2,4,46685,20.32389418
AKT,2014,2016,2,2,20926,68.80990251
AKT,2015,2017,2,4,62394,10.84746129
AKT,2017,2019,2,2,29989,24.86632098
ALP,1976,1978,2,8,36050,70.02047906
ALP,1977,1979,2,6,49973,18.91821544
ALP,1978,1980,2,14,166711,14.16287671
ALP,1979,1981,2,2,30621,13.92477581
ALP,1980,1982,2,1,9008,14.11
