Stock,BY,GenTim(fishing mortality represented in calcuations)
ATN,1986,4.93
ATN,1987,4.73
ATN,1988,4.58
ATN,1989,4.61
ATN,1990,4.56
ATN,1991,4.42
ATN,1992,4.47
ATN,1993,4.44
ATN,1994,4.47
ATN,1995,4.38
ATN,1996,4.39
ATN,1997,4.60
ATN,1998,4.23
ATN,1999,4.62
ATN,2000,4.61
ATN,2001,4.66
ATN,2002,4.40
ATN,2005,4.32
ATN,2006,4.20
ATN,2007,4.47
ATN,2008,4.47
ATN,2009,4.22
ATN,2010,4.23
ATN,2011,4.24
ATN,2012,3.92
ATN,2013,4.16
ATN,2014,3.88
ATS,1990,5.14
ATS,1991,4.84
ATS,1992,4.74
ATS,1993,4.81
ATS,2007,5.02
ATS,2008,4.84
ATS,2009,4.59
ATS,2010,4.79
ATS,2011,4.66
BQR,1973,3.72
BQR,1974,3.67
BQR,1975,3.78
BQR,1976,3.47
BQR,1977,3.67
BQR,1978,3.88
BQR,1979,3.77
BQR,1980,3.54
BQR,1981,3.73
BQR,1982,3.76
BQR,1983,3.69
BQR,1984,3.82
BQR,1985,3.79
BQR,1986,3.64
BQR,1987,3.59
BQR,1988,3.47
BQR,1989,3.51
BQR,1990,3.69
BQR,1991,3.34
BQR,1992,3.40
BQR,1993,3.26
BQR,1994,3.57
BQR,1995,3.79
BQR,1996,3.59
BQR,1997,3.72
BQR,1998,3.50
BQR,1999,3.69
BQR,2000,3.59
BQR,2001,3.80
BQR,2002,3.28
BQR,2003,3.53
BQR,2004,3.44
BQR,2005,3.29
BQR,2006,3.46
BQR,2007,3.30
BQR,2008,3.44
BQR,2009,3.34
BQR,2010,3.78
BQR,2011,3.43
BQR,2012,3.48
BQR,2013,3.20
BQR,2014,3.13
BQR,2015,3.23
CHI,1981,3.34
CHI,1982,4.01
CHI,1983,3.92
CHI,1984,3.93
CHI,1985,3.59
CHI,1986,3.46
CHI,1987,3.73
CHI,1988,3.76
CHI,1989,3.64
CHI,1990,3.61
CHI,1991,3.62
CHI,1992,3.13
CHI,1993,3.36
CHI,1994,3.61
CHI,1995,3.55
CHI,1996,3.40
CHI,1997,3.51
CHI,1998,3.31
CHI,1999,3.59
CHI,2000,3.64
CHI,2001,3.43
CHI,2002,3.31
CHI,2003,3.16
CHI,2004,2.92
CHI,2005,3.03
CHI,2006,3.54
CHI,2007,3.14
CHI,2008,3.11
CHI,2009,3.37
CHI,2010,3.19
CHI,2011,3.20
CHI,2012,3.36
CHI,2013,3.10
CHI,2014,3.01
CHI,2015,3.07
CHK,1999,5.02
CHK,2000,4.59
CHK,2001,4.74
CHK,2002,5.13
CHK,2003,5.30
CHK,2004,4.89
CHK,2005,4.57
CHK,2006,4.89
CHK,2007,4.83
CHK,2008,5.16
CHK,2009,4.72
CHK,2010,4.50
CHK,2011,4.71
CHK,2012,4.67
CHK,2013,4.78
CHK,2014,4.68
COW,1985,3.68
COW,1987,3.71
COW,1988,3.67
COW,1989,3.68
COW,1990,3.35
COW,1991,3.51
COW,1992,3.11
COW,1993,2.90
COW,1994,2.95
COW,1995,2.71
COW,1996,2.91
COW,1997,3.14
COW,1998,3.14
COW,1999,3.16
COW,2000,3.41
COW,2001,3.52
COW,2002,3.12
COW,2003,3.06
COW,2005,2.85
COW,2006,3.12
COW,2007,3.09
COW,2008,3.40
COW,2009,2.96
COW,2010,3.05
COW,2011,3.17
COW,2012,3.69
COW,2013,3.14
COW,2014,3.04
COW,2015,2.95
CWF,1977,4.04
CWF,1978,3.91
CWF,1979,3.91
CWF,1980,3.97
CWF,1981,4.08
CWF,1982,3.97
CWF,1983,3.53
CWF,1984,3.90
CWF,1985,4.04
CWF,1986,3.78
CWF,1987,3.89
CWF,1988,4.08
CWF,1989,3.95
CWF,1990,3.69
CWF,1991,3.39
CWF,1992,3.90
CWF,1993,3.61
CWF,1994,4.14
CWF,1995,3.73
CWF,1996,3.87
CWF,1997,3.86
CWF,1998,3.67
CWF,1999,3.96
CWF,2000,3.86
CWF,2001,3.96
CWF,2002,3.84
