Time,SLP1,SST1,SSTarc,SATarc
1900.041667,0.083534,0.547130326,0.13155,1.3376
1900.125,-0.1986,0.441221557,0.13913,-0.28372
1900.208333,2.1289,0.774730897,0.25903,0.85001
1900.291667,0.60728,0.81290104,0.26444,-0.18834
1900.375,0.38404,0.479450587,0.2467,0.10577
1900.458333,1.426,0.579818726,0.32286,0.31793
1900.541667,1.3117,0.614453374,0.31798,-0.042291
1900.625,-1.1002,0.906960916,0.4212,-0.73501
1900.708333,-1.6115,0.616419854,0.31587,-0.53628
1900.791667,-0.98234,0.625566075,0.39357,-0.72724
1900.875,1.0526,0.130041274,0.10565,-0.41245
1900.958333,0.16329,0.402732294,0.22473,0.89191
1901.041667,-0.73231,0.424289676,0.23936,-0.12282
1901.125,0.71598,0.554393652,0.28836,-0.79679
1901.208333,-0.91195,0.300319856,0.1862,0.49001
1901.291667,-2.1302,-0.025364412,-0.018019,-0.84958
1901.375,-0.074477,-0.247743675,-0.10219,-0.56323
1901.458333,-0.21089,-0.744031861,-0.40011,-0.63148
1901.541667,0.52036,-1.073537247,-0.62776,-0.70279
1901.625,-0.24742,-0.740099037,-0.40871,-0.19332
1901.708333,-0.12445,-0.797105698,-0.54252,-0.97615
1901.791667,-0.62027,-0.360876119,-0.27545,1.0632
1901.875,-0.089213,-0.003446378,-0.10943,0.36475
1901.958333,-0.33749,-0.11300476,-0.083461,-0.1989
1902.041667,-0.87273,-0.287388817,-0.098785,0.015395
1902.125,0.70768,-0.339738082,-0.068167,0.97261
1902.208333,-1.7751,-0.477161626,-0.093129,-0.83889
1902.291667,-0.10468,-0.270624637,-0.045618,-0.48173
1902.375,-0.31935,-0.225071922,-0.14863,-0.28128
1902.458333,1.8921,0.339670254,0.13984,0.25134
1902.541667,-0.37851,0.602984192,0.2205,-0.39614
1902.625,-1.0739,-0.203174695,-0.18092,-0.67873
1902.708333,-1.5365,-0.502908386,-0.25161,-0.61441
1902.791667,0.087584,0.069366137,0.047264,0.055537
1902.875,-0.15174,0.476012582,0.19789,-0.95798
1902.958333,-0.74111,0.171376116,0.063226,0.25513
1903.041667,-0.80972,-0.649534889,-0.22403,-0.052755
1903.125,-0.6157,-0.933567095,-0.31026,-1.8636
1903.208333,0.34249,-1.346189108,-0.39246,-1.0547
1903.291667,-1.1514,-1.832064645,-0.68382,-0.93537
1903.375,-1.0475,-1.495598186,-0.61271,-0.66263
