"","stock","stock_name","jurisdiction","smoltType","adultRunTiming","region","lat","long"
"1","AKB","Alaska Hatchery Springs - Behm Canal",NA,NA,NA,NA,NA,NA
"2","AKS","Alaska Spring","AK","streamtype","Spring","SEAK",NA,NA
"3","ATN","Atnarko River","BC","oceantype","Summer","CBC",52.376631,-126.093529
"4","ATS","Atnarko Yearling",NA,NA,NA,NA,NA,NA
"5","BQR","Big Qualicum River Fall","BC","oceantype","Fall","ECVI",49.39884,-124.609144
"6","CHI","Chilliwack River Fall","BC","oceantype","Fall","LFR",49.125664,-122.098166
"7","CHK","Chilkat River","AK","streamtype","Spring","SEAK",59.302,-135.739
"8","COW","Cowichan River Fall","BC","oceantype","Fall","ECVI",48.753551,-123.637015
"9","CWF","Cowlitz Fall Tule","CR","oceantype","Fall","LCOLR",46.215,-123.862
"10","DOM","Dome Creek Spring","BC","streamtype","Spring","UFR",53.754022,-121.023499
"11","ELK","Elk River","OR","oceantype","Fall","ORCST",42.8079,-124.5309
"12","ELW","Elwha River","WA","oceantype","Fall","JFUCA",48.1455,-123.566
"13","GAD","George Adams Fall Fingerling","WA","oceantype","Fall","HOODC",47.3342,-123.1179
"14","GRN","Green River",NA,NA,NA,NA,NA,NA
"15","HAN","Hanford Wild Brights","CR","oceantype","Fall","UCOLR",46.215,-123.862
"16","HAR","Harrison River","BC","oceantype","Fall","LFR",49.218903,-121.945066
"17","KLM","Kitsumkalum River Summer","BC","oceantype","Summer","NBC",54.520959,-128.660892
"18","KLY","Kitsumkalum Yearling","BC","streamtype","Summer","NBC",54.520959,-128.660892
"19","LRH","Lower River Hatchery Tule","CR","oceantype","Fall","LCOLR",46.215,-123.862
"20","LRW","Lewis River Wild","CR","oceantype","Fall","LCOLR",46.215,-123.862
"21","LYF","Lyons Ferry Fingerling","CR","oceantype","Fall","UCOLR",46.215,-123.862
"22","LYY","Lyons Ferry Yearling","CR","streamtype","Fall","UCOLR",46.215,-123.862
"23","MSH","Middle Shuswap River Summer",NA,NA,NA,NA,NA,NA
"24","NAN","Nanaimo River Fall","BC","oceantype","Fall","ECVI",49.137895,-123.895779
"25","NIC","Nicola River Spring","BC","streamtype","Spring","MFR",50.427138,-121.316685
"26","NIS","Nisqually Fall Fingerling","WA","oceantype","Fall","SPGSD",47.0857,-122.7073
"27","NKS","Nooksack Spring Yearling","WA","streamtype","Spring","NPGSD",48.7841,-122.5883
"28","NSA","NE Alaska Spring",NA,NA,NA,NA,NA,NA
"29","NSF","Nooksack Spring Fingerling","WA","streamtype","Spring","NPGSD",48.7841,-122.5883
"30","PHI","Phillips River Fall",NA,NA,NA,NA,NA,NA
"31","PPS","Puntledge River Summer","BC","oceantype","Summer","ECVI",49.696529,-124.995198
"32","QUE","Queets Fall Fingerling","WA","oceantype","Fall","WACST",47.5425,-124.3539
"33","QUI","Quinsam River Fall","BC","oceantype","Fall","ECVI",50.037646,-125.29471
"34","RBT","Robertson Creek Fall","BC","oceantype","Fall","WCVI",49.246176,-124.820148
"35","SAM","Samish Fall Fingerling","WA","oceantype","Fall","NPGSD",48.5564,-122.4605
"36","SHU","Lower Shuswap River Summer","BC","oceantype","Summer","MFR",50.721419,-119.046825
"37","SKF","Skagit Spring Fingerling","WA","oceantype","Spring","NPGSD",48.3873,-122.3686
"38","SKS","Skagit Spring Yearling","WA","streamtype","Spring","NPGSD",48.3873,-122.3686
"39","SKY","Skykomish Fall Fingerling","WA","oceantype","Summer","NPGSD",48.0173,-122.1898
"40","SOO","Sooes Fall Fingerling","WA","oceantype","Fall","WACST",48.3215,-124.6572
"41","SPR","Spring Creek Tule","CR","oceantype","Fall","MCOLR",46.215,-123.862
"42","SPS","South Puget Sound Fall Fingerling","WA","oceantype","Fall","SPGSD",47.0261,-122.9068
"43","SPY","South Puget Sound Fall Yearling","WA","streamtype","Fall","SPGSD",47.5676,-122.3486
"44","SQP","Squaxin Pens Fall Yearling",NA,NA,NA,NA,NA,NA
"45","SRH","Salmon River","OR","oceantype","Fall","ORCST",45.0478,-124.0061
"46","SSA","SE Alaska Spring",NA,NA,NA,NA,NA,NA
"47","SSF","Skagit Summer Fingerling","WA","oceantype","Summer","NPGSD",48.3873,-122.3686
"48","STI","Stikine River","AK","streamtype","Spring","TBR",56.691,-132.213
"49","STL","Stillaguamish Fall Fingerling","WA","oceantype","Summer","NPGSD",48.2381,-122.3767
"50","SUM","Columbia River Summer","CR","oceantype","Summer","UCOLR",46.215,-123.862
"51","TAK","Taku River","AK","streamtype","Spring","TBR",58.4199,-133.9971
"52","TST","Transboundary Rivers",NA,NA,NA,NA,NA,NA
"53","UNU","Unuk River","AK","streamtype","Spring","SEAK",56.0772,-131.0753
"54","URB","Columbia River Upriver Bright","CR","oceantype","Fall","UCOLR",46.215,-123.862
"55","UWA","University of Washington Accelerated",NA,NA,NA,NA,NA,NA
"56","WRY","White River Spring Yearling","WA","streamtype","Spring","SPGSD",47.2506,-122.4157
"57","WSH","Willamette Spring","CR","streamtype","Spring","LCOLR",46.215,-123.862
