stock,stock_name,jurisdiction,smoltType,adultRunTiming,region,oey_lat,oey_long,hatch_lat,hatch_long
AKB,Alaska Hatchery Springs - Behm Canal,AK,streamtype,Spring,SEAK,55.962925,-131.219612,55.962925,-131.219612
AKS,Alaska Spring,AK,streamtype,Spring,SEAK,55.962925,-131.219612,55.962925,-131.219612
ATN,Atnarko River,BC,oceantype,Summer,CBC,52.376631,-126.093529,52.389323,-126.124755
ATS,Atnarko Yearling,BC,streamtype,Spring,CBC,52.376631,-126.093529,52.389323,-126.124755
BQR,Big Qualicum River Fall,BC,oceantype,Fall,ECVI,49.39884,-124.609144,49.393739,-124.617400
CHI,Chilliwack River Fall,BC,oceantype,Fall,LFR,49.125664,-122.098166,49.079849,-121.704191
CHK,Chilkat River,AK,streamtype,Spring,SEAK,59.302,-135.739,59.368352,-135.935884
COW,Cowichan River Fall,BC,oceantype,Fall,ECVI,48.753551,-123.637015,48.770933,-123.664652
CWF,Cowlitz Fall Tule,CR,oceantype,Fall,LCOLR,46.215,-123.862,46.155123,-122.911557
DOM,Dome Creek Spring,BC,streamtype,Spring,UFR,53.754022,-121.023499,53.754022,-121.023499
ELK,Elk River,OR,oceantype,Fall,ORCST,42.8079,-124.5309,42.8079,-124.5309
ELW,Elwha River,WA,oceantype,Fall,JFUCA,48.1455,-123.566,48.1455,-123.566
GAD,George Adams Fall Fingerling,WA,oceantype,Fall,HOODC,47.3342,-123.1179,47.3342,-123.1179
GRN,Green River,WA,oceantype,Fall,SPGSD,47.280136,-122.094613,47.280136,-122.094613
HAN,Hanford Wild Brights,CR,oceantype,Fall,UCOLR,46.215,-123.862,46.66893,-119.942185
HAR,Harrison River,BC,oceantype,Fall,LFR,49.218903,-121.945066,49.218903,-121.945066
HOK,Hoko Falls,WA,oceantype,Fall,WACST,48.2565,-124.3545,48.2565,-124.3545
KLM,Kitsumkalum River Summer,BC,oceantype,Summer,NBC,54.520959,-128.660892,54.520959,-128.660892
KLY,Kitsumkalum Yearling,BC,streamtype,Summer,NBC,54.520959,-128.660892,54.520959,-128.660892
LRH,Lower River Hatchery Tule,CR,oceantype,Fall,LCOLR,46.215,-123.862,46.151340,-123.558337
LRW,Lewis River Wild,CR,oceantype,Fall,LCOLR,46.215,-123.862,45.919469,-122.724177
LYF,Lyons Ferry Fingerling,CR,oceantype,Fall,UCOLR,46.215,-123.862,46.596566,-118.227758
LYY,Lyons Ferry Yearling,CR,streamtype,Fall,UCOLR,46.215,-123.862,46.596566,-118.227758
MSH,Middle Shuswap River Summer,BC,oceantype,Summer,MFR,50.722286,-119.047641,50.722286,-119.047641
