OTN_ARRAY,STATION_NO,DEPLOY_DATE_TIME   (yyyy-mm-ddThh:mm:ss),DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,INS_MODEL_NO,INS_SERIAL_NO,TRANSMITTER,TRANSMIT_MODEL,AR_MODEL_NO,AR_SERIAL_NO,DEPLOYED_BY (Lead Technicians),RECOVERED (y/n/l),RECOVER_DATE_TIME (yyyy-mm-ddThh:mm:ss),RECOVER_LAT (dd.ddddd),RECOVER_LONG (ddd.ddddd),DATA_DOWNLOADED (y/n),DOWNLOAD_DATE_TIME (yyyy-mm-ddThh:mm:ss),FILENAME,COMMENTS
muckleshoot,Downstream of Locks,2020-05-14T00:00:00,47.66631,-122.40028,NA,NA,NA,VR2W,125189,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.66631,-122.40028,,,,
muckleshoot,Metro Lab,2020-05-14T00:00:00,47.65274,-122.36172,NA,NA,NA,VR2W,114050,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.65274,-122.36172,,,,
muckleshoot,Aurora or Fremont Bridge N,2020-05-14T00:00:00,47.64738,-122.34838,NA,NA,NA,VR2W,105253,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64738,-122.34838,,,,
muckleshoot,Aurora or Fremont Bridge S,2020-05-14T00:00:00,47.64686,-122.34890,NA,NA,NA,VR2W,105254,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64686,-122.34890,,,,
muckleshoot,End of pier S,2020-05-14T00:00:00,47.64308,-122.32973,NA,NA,NA,VR2W,105256,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64308,-122.32973,,,,
muckleshoot,North Passage Pt Park,2020-05-14T00:00:00,47.65371,-122.32209,NA,NA,NA,VR2W,105257,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.65371,-122.32209,,,,
muckleshoot,University Bridge south side,2020-05-14T00:00:00,47.65257,-122.32074,NA,NA,NA,VR2W,114049,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.65257,-122.32074,,,,
muckleshoot,UW Fisheries Dock ladder,2020-05-14T00:00:00,47.64890,-122.31125,NA,NA,NA,VR2W,103484,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64890,-122.31125,,,,
muckleshoot,Seattle Yacht Club  dock,2020-05-14T00:00:00,47.64635,-122.31125,NA,NA,NA,VR2W,114048,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64635,-122.31125,,,,
muckleshoot,UW rowing club dock,2020-05-14T00:00:00,47.64787,-122.29888,NA,NA,NA,VR2W,103483,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64787,-122.29888,,,,
muckleshoot,Webster Point channel marker,2020-05-14T00:00:00,47.64760,-122.27601,NA,NA,NA,VR2W,105677,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.64760,-122.27601,,,,
muckleshoot,Squire's Landing,2020-05-14T00:00:00,47.75446,-122.24157,NA,NA,NA,VR2W,108032,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.75446,-122.24157,,,,
muckleshoot,Kenmore,2020-05-14T00:00:00,47.75443,-122.25085,NA,NA,NA,VR2W,106144,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.75443,-122.25085,,,,
muckleshoot,Mouth of Bear,2020-05-14T00:00:00,47.66823,-122.12651,NA,NA,NA,VR2W,134433,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.66823,-122.12651,,,,
muckleshoot,Mouth of Issaquah,2020-05-14T00:00:00,47.55933,-122.06317,NA,NA,NA,VR2W,133501,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.55933,-122.06317,,,,
muckleshoot,DS E.Fk Iss Confluence,2020-05-14T00:00:00,47.53568,-122.03998,NA,NA,NA,VR2W,120990,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.53568,-122.03998,,,,
muckleshoot,US E. Fk Iss Confluence,2020-05-14T00:00:00,47.53449,-122.03995,NA,NA,NA,VR2W,120994,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.53449,-122.03995,,,,
muckleshoot,Issaquah Hatchery,2020-05-14T00:00:00,47.52987,-122.03973,NA,NA,NA,VR2W,129067,,,NA,NA,Jessie Nitz,y,2020-12-31T00:00:00,47.52987,-122.03973,,,,
