Birth_Mother,Year,Calved
A08,1980.00,1
G17,1980.00,1
I01,1980.00,1
I15,1980.00,1
I18,1980.00,1
I22,1980.00,1
I31,1980.00,1
A23,1981.00,1
A24,1981.00,1
A30,1981.00,1
G02,1981.00,1
G18,1981.00,1
H03,1981.00,1
A36,1982.00,1
D08,1982.00,1
G03,1982.00,1
R18,1982.00,1
I17,1982.50,1
A10,1983.00,1
A11,1983.00,1
A24,1983.00,1
I07,1983.00,1
I11,1983.00,1
I16,1983.00,1
I19,1983.00,1
A30,1984.00,1
B07,1984.00,1
D07,1984.00,1
G20,1984.00,1
R04,1984.00,1
A24,1985.00,1
C06,1985.00,1
C10,1985.00,1
G02,1985.00,1
G08,1985.00,1
I12,1985.00,1
I15,1985.00,1
I31,1985.00,1
I33,1985.00,1
R17,1985.00,1
A25,1986.00,1
G12,1986.00,1
G16,1986.00,1
G17,1986.00,1
H03,1986.00,1
I16,1986.00,1
I18,1986.00,1
I19,1986.00,1
I20,1986.00,1
A35,1987.00,1
B07,1987.00,1
D08,1987.00,1
D09,1987.00,1
D11,1987.00,1
G25,1987.00,1
G27,1987.00,1
I22,1987.00,1
I26,1987.00,1
R05,1987.00,1
R18,1987.00,1
A24,1988.00,1
G29,1988.00,1
H05,1988.00,1
I07,1988.00,1
I33,1988.00,1
I35,1988.00,1
R04,1988.00,1
A30,1989.00,1
C08,1989.00,1
C10,1989.00,1
G02,1989.00,1
G03,1989.00,1
I17,1989.00,1
I18,1989.00,1
A11,1990.00,1
A34,1990.00,1
D11,1990.00,1
G08,1990.00,1
G20,1990.00,1
G34,1990.00,1
I11,1990.00,1
I15,1990.00,1
I27,1990.00,1
R17,1990.00,1
A42,1991.00,1
B07,1991.00,1
C06,1991.00,1
C08,1991.00,1
G23,1991.00,1
G29,1991.00,1
I20,1991.00,1
I31,1991.00,1
I35,1991.00,1
I40,1991.00,1
A23,1992.00,1
A24,1992.00,1
A35,1992.00,1
G22,1992.00,1
G25,1992.00,1
I18,1992.00,1
I26,1992.00,1
R04,1992.00,1
G16,1992.50,1
C10,1993.00,1
I16,1993.00,1
I19,1993.00,1
I54,1993.00,1
A25,1994.00,1
A34,1994.00,1
C08,1994.00,1
G02,1994.00,1
G20,1994.00,1
G31,1994.00,1
G34,1994.00,1
H03,1994.00,1
I35,1994.00,1
I40,1994.00,1
R05,1994.00,1
R22,1994.00,1
A24,1995.00,1
A43,1995.00,1
B07,1995.00,1
D08,1995.00,1
G23,1995.00,1
I13,1995.00,1
R04,1995.00,1
A42,1996.00,1
A48,1996.00,1
G27,1996.00,1
I17,1996.00,1
I21,1996.00,1
I26,1996.00,1
I50,1996.00,1
R17,1996.00,1
A34,1997.00,1
A43,1997.00,1
A45,1997.00,1
C08,1997.00,1
I04,1997.00,1
I12,1997.00,1
I20,1997.00,1
I27,1997.00,1
I33,1997.00,1
I36,1997.00,1
I54,1997.00,1
R20,1997.00,1
R24,1997.00,1
C10,1998.00,1
D13,1998.00,1
G20,1998.00,1
G25,1998.00,1
I16,1998.00,1
I35,1998.00,1
R04,1998.00,1
R22,1998.00,1
A24,1999.00,1
A35,1999.00,1
A50,1999.00,1
D12,1999.00,1
G08,1999.00,1
G31,1999.00,1
G37,1999.00,1
I19,1999.00,1
I40,1999.00,1
