ID,YoB
G30,1917
C05,1923
A07,1927
A01,1929
A02,1929
B11,1929
I02,1929
C04,1934
W03,1935
R02,1937
R09,1937
D03,1938
A09,1942
A10,1942
G24,1942
A12,1943
D07,1943
H06,1943
R07,1945
C11,1946
G18,1947
A14,1948
A23,1948
G04,1948
I18,1948
I31,1948
A30,1949
A36,1949
B07,1949
I10,1949
R05,1949
G17,1950
B01,1953
C01,1953
C07,1953
I01,1953
I15,1953
A03,1954
A04,1954
A20,1954
B02,1954
C03,1954
D01,1954
G01,1954
G07,1954
H01,1954
I11,1955
C06,1956
D02,1956
G12,1956
I03,1956
I05,1956
I14,1956
R01,1956
R03,1956
R06,1956
R10,1956
R14,1956
G03,1957
C02,1958
A08,1959
A11,1959
G05,1959
A05,1960
A31,1960
B03,1960
D04,1960
H03,1960
I17,1960
W01,1960
W02,1960
B04,1962
G02,1962
R08,1962
G11,1963
A16,1964
A17,1964
B05,1964
C15,1964
D05,1964
I20,1964
I32,1964
R15,1964
A06,1965
A32,1965
B08,1965
I08,1965
R04,1965
G06,1966
G09,1966
H02,1966
I22,1966
A21,1967
A24,1967
R12,1967
D08,1968
R18,1968
A18,1969
I07,1969
I16,1969
I19,1969
A38,1970.5
G26,1970.5
G29,1970.5
R17,1970.5
A33,1971
G08,1971
I12,1971
I33,1971
A25,1971.5
A26,1971.5
A27,1971.5
C09,1971.5
C10,1971.5
D09,1971.5
G16,1972
G20,1972
A19,1973
A44,1973
B06,1973
H05,1973
R11,1973
G27,1973.5
I23,1973.5
A28,1974
A35,1974
I13,1974
I27,1974
I28,1974
I35,1974
W05,1974
H04,1974.5
A34,1975
A39,1975
C08,1975
D11,1975
G25,1975
I26,1975
R19,1975
G19,1976
I49,1976
A29,1977
A37,1977
G34,1977
A13,1978
D10,1978
G33,1978
A15,1979
B10,1979
C12,1979
G22,1979
I21,1979
I37,1979
R13,1979
R20,1979
I38,1979.5
A42,1980
G23,1980
I04,1980
I24,1980
I36,1980
I39,1980
I40,1980
I41,1980
A40,1981
A41,1981
A43,1981
G28,1981
G31,1981
H07,1981
A46,1982
D12,1982
G32,1982
R21,1982
I50,1982.5
A45,1983
A47,1983
A48,1983
I42,1983
I43,1983
I48,1983
I54,1983
A50,1984
B12,1984
D13,1984
G37,1984
R22,1984
A49,1985
C13,1985
C14,1985
G35,1985
G36,1985
I44,1985
I45,1985
I46,1985
I47,1985
R23,1985
A51,1986
G38,1986
G39,1986
G42,1986
H08,1986
I51,1986
I52,1986
I53,1986
I56,1986
A52,1987
B13,1987
D14,1987
D15,1987
D16,1987
G40,1987
G41,1987
I55,1987
I60,1987
R24,1987
R25,1987
A53,1988
G45,1988
H09,1988
I59,1988
I61,1988
I62,1988
R26,1988
A54,1989
C16,1989
C17,1989
G43,1989
G44,1989
I57,1989
I58,1989
A55,1990
A56,1990
D17,1990
G47,1990
G48,1990
G49,1990
I63,1990
I64,1990
I65,1990
R27,1990
A57,1991
B14,1991
C18,1991
C19,1991
G46,1991
G50,1991
I66,1991
I67,1991
I68,1991
I69,1991
A58,1992
A59,1992
A60,1992
G51,1992
G57,1992
I73,1992
I93,1992
R28,1992
G52,1992.5
C20,1993
I70,1993
I71,1993
I72,1993
A61,1994
A62,1994
C21,1994
G53,1994
G54,1994
G55,1994
G56,1994
H10,1994
I74,1994
I82,1994
R29,1994
R30,1994
A63,1995
A64,1995
B15,1995
D18,1995
G59,1995
I75,1995
R33,1995
A65,1996
A66,1996
G58,1996
I84,1996
I87,1996
I89,1996
I91,1996
R34,1996
A67,1997
A68,1997
A69,1997
C22,1997
I76,1997
I77,1997
I78,1997
I79,1997
I80,1997
I81,1997
I83,1997
R31,1997
R32,1997
C23,1998
D19,1998
G60,1998
G61,1998
I85,1998
I86,1998
R35,1998
R36,1998
A70,1999
A71,1999
A72,1999
D20,1999
G62,1999
G63,1999
G66,1999
I90,1999
I92,1999
R37,1999
R38,1999.5
A73,2000
C24,2000
G64,2000
H11,2000
I88,2000
A74,2001
G65,2001
G68,2001
G69,2001
I94,2001
I95,2001
R39,2001
R40,2001
A75,2002
A76,2002
H12,2002
I104,2002
I96,2002
I97,2002
I98,2002
R41,2002
R42,2002
R43,2002
A77,2003
A78,2003
G70,2003
I100,2003
I101,2003
I102,2003
I103,2003
I99,2003
C25,2003.5
A79,2004
A80,2004
A81,2004
A82,2004
B16,2004
C26,2004
D21,2004
D22,2004
G73,2004
G78,2004
H13,2004
I105,2004
I106,2004
I107,2004
R44,2004
R45,2004
R46,2004
G72,2004.5
A83,2005
A84,2005
D23,2005
G71,2005
G74,2005
G75,2005
G76,2005
G77,2005
G79,2005
H14,2005
I108,2005
I115,2005
I117,2005
R47,2005
A85,2006
A86,2006
C27,2006
G80,2006
G81,2006
I109,2006
I110,2006
I111,2006
I112,2006
I113,2006
I114,2006
