ID,BIRTH_YEAR
K07,1910
J02,1911
J09,1917
L66,1924
L25,1928
K30,1929
K08,1930
L15,1930
L09,1931
K04,1933
K11,1933
L12,1933
L37,1933
J12,1935
J05,1938
L45,1938
J07,1939
L35,1942
K18,1948
L03,1948
L04,1949
L16,1949
L28,1949
L21,1950
J01,1951
L13,1952
L23,1952
J03,1953
K02,1953
K05,1953
K19,1953
K01,1955
L20,1955
L32,1955
J06,1956
L26,1956
J04,1957
K03,1957
L11,1957
L08,1958
L01,1959
L10,1959
L02,1960
L07,1961
J10,1962
L06,1962
K40,1963
L33,1963
L05,1964
L27,1965
L38,1965
K17,1966
J13,1971
K15,1971
L22,1971
J11,1972
J16,1972
J24,1972
K12,1972
K13,1972
L14,1972
L43,1972
L60,1972
L42,1973
L50,1973
L51,1973
L61,1973
J14,1974
K46,1974
L44,1974
L47,1974
L36,1975
L39,1975
J15,1976
J17,1977
J18,1977
K14,1977
L41,1977
L48,1977
L53,1977
L54,1977
L55,1977
L57,1977
L56,1978
J19,1979
L49,1979
L59,1979
L52,1980
L58,1980
L62,1980
J20,1981
J21,1982
L63,1984
L65,1984
L69,1984
J22,1985
K16,1985
L64,1985
L67,1985
L68,1985
K20,1986
K21,1986
L71,1986
L72,1986
L73,1986
L74,1986
L75,1986
J23,1987
K22,1987
L76,1987
L77,1987
J25,1988
K23,1988
L78,1989
L79,1989
K24,1990
L80,1990
L81,1990
L82,1990
L83,1990
L84,1990
J26,1991
J27,1991
K25,1991
L85,1991
L86,1991
L87,1992
J08,1993
J28,1993
J29,1993
K26,1993
L88,1993
L89,1993
L90,1993
K27,1994
K28,1994
J30,1995
J31,1995
L91,1995
L92,1995
L93,1995
L94,1995
J32,1996
J33,1996
K29,1996
L95,1996
L96,1996
J34,1998
J35,1998
J36,1999
K31,1999
L97,1999
L98,1999
K32,2000
L99,2000
J37,2001
K33,2001
K34,2001
L100,2001
K35,2002
L101,2002
L102,2002
J38,2003
J39,2003
K36,2003
K37,2003
L103,2003
J40,2004
K38,2004
L104,2004
L105,2004
J41,2005
L106,2005
L107,2005
K39,2006
K41,2006
L108,2006
J42,2007
J43,2007
L109,2007
L110,2007
K42,2008
L111,2008
J44,2009
J45,2009
J46,2009
L112,2009
L113,2009
J47,2010
K43,2010
L114,2010
L115,2010
L116,2010
L117,2010
J48,2011
K44,2011
L118,2011
J49,2012
L119,2012
J50,2014
L120,2014
J51,2015
J52,2015
J53,2015
J54,2015
L121,2015
L122,2015
L123,2015
J55,2016
