Year,ID,YoD
1980,L15,1981
1980,K30,1982
1980,L23,1982
1980,J07,1983
1980,L37,1984
1980,J09,1985
1980,L66,1986
1980,K08,1989
1980,L75,1993
1980,L28,1994
1980,L65,1994
1980,L45,1995
1980,J04,1995
1980,L09,1996
1980,J12,1996
1980,L35,1996
1980,L04,1996
1980,J05,1997
1980,K03,1998
1980,J20,1998
1980,L93,1998
1980,K04,1999
1980,J10,1999
1980,L51,1999
1980,L11,2000
1980,L03,2002
1980,L60,2002
1980,K18,2004
1980,L32,2005
1980,L43,2006
1980,K28,2006
1980,K07,2008
1980,L21,2008
1980,J11,2008
1980,L67,2008
1980,L111,2008
1980,K11,2010
1980,L07,2010
1980,L12,2012
1980,L02,2012
1980,K40,2012
1980,L05,2012
1980,L112,2012
1980,L26,2013
1980,J08,2013
1980,L53,2014
1980,J32,2014
1980,L27,2015
1980,J14,2016
1980,J28,2016
1980,J02,2017
1980,K13,2017
1980,L25,NA
1980,L22,NA
1980,J16,NA
1980,K12,NA
1980,L47,NA
1980,J17,NA
1980,K14,NA
1980,L54,NA
1980,L55,NA
1980,J19,NA
1980,J22,NA
1980,K16,NA
1980,K20,NA
1980,L72,NA
1980,K22,NA
1980,L77,NA
1980,L82,NA
1980,L83,NA
1980,L86,NA
1980,L90,NA
1980,K27,NA
1980,J31,NA
1980,L91,NA
1980,L94,NA
1980,J35,NA
1980,J36,NA
1980,J37,NA
1980,K36,NA
1980,L103,NA
1980,J40,NA
1980,J41,NA
1980,J42,NA
1980,J46,NA
1980,L113,NA
1980,K43,NA
1980,L118,NA
1980,L119,NA
1980,J50,NA
1980,J53,NA
1981,K30,1982
1981,L23,1982
1981,J07,1983
1981,L37,1984
1981,J09,1985
1981,L66,1986
1981,K08,1989
1981,L75,1993
1981,L28,1994
1981,L65,1994
1981,L45,1995
1981,J04,1995
1981,L09,1996
1981,J12,1996
1981,L35,1996
1981,L04,1996
1981,J05,1997
1981,K03,1998
1981,J20,1998
1981,L93,1998
1981,K04,1999
1981,J10,1999
1981,L51,1999
1981,L11,2000
1981,L03,2002
1981,L60,2002
1981,K18,2004
1981,L32,2005
1981,L43,2006
1981,K28,2006
1981,K07,2008
1981,L21,2008
1981,J11,2008
1981,L67,2008
1981,L111,2008
1981,K11,2010
1981,L07,2010
1981,L12,2012
1981,L02,2012
1981,K40,2012
1981,L05,2012
1981,L112,2012
1981,L26,2013
1981,J08,2013
1981,L53,2014
1981,J32,2014
1981,L27,2015
1981,J14,2016
1981,J28,2016
1981,J02,2017
1981,K13,2017
1981,L25,NA
1981,L22,NA
1981,J16,NA
1981,K12,NA
1981,L47,NA
1981,J17,NA
1981,K14,NA
1981,L54,NA
1981,L55,NA
1981,J19,NA
1981,J22,NA
1981,K16,NA
1981,K20,NA
1981,L72,NA
1981,K22,NA
1981,L77,NA
1981,L82,NA
1981,L83,NA
1981,L86,NA
1981,L90,NA
1981,K27,NA
1981,J31,NA
1981,L91,NA
1981,L94,NA
1981,J35,NA
1981,J36,NA
1981,J37,NA
1981,K36,NA
1981,L103,NA
1981,J40,NA
1981,J41,NA
1981,J42,NA
1981,J46,NA
1981,L113,NA
1981,K43,NA
1981,L118,NA
1981,L119,NA
1981,J50,NA
1981,J53,NA
1982,J07,1983
1982,L37,1984
1982,J09,1985
1982,L66,1986
1982,K08,1989
1982,L75,1993
1982,L28,1994
1982,L65,1994
1982,L45,1995
1982,J04,1995
1982,L09,1996
1982,J12,1996
1982,L35,1996
1982,L04,1996
1982,J05,1997
1982,K03,1998
1982,J20,1998
1982,L93,1998
1982,K04,1999
1982,J10,1999
1982,L51,1999
1982,L11,2000
1982,L03,2002
1982,L60,2002
1982,K18,2004
1982,L32,2005
1982,L43,2006
