Survival 
        H       U    logLik     AICc num.param m num.iter converged deltaAICc     rel_like   aic_weight
j_group3b unequal -1989.850 4197.754       102 8     3977      TRUE  0.000000 1.000000e+00 5.959522e-01
 j_group3 unequal -2024.226 4199.344        72 4      321      TRUE  1.590414 4.514879e-01 2.690652e-01
 j_group4 unequal -2018.518 4201.149        78 5     2083      TRUE  3.394736 1.831649e-01 1.091575e-01
j_group4b unequal -1981.557 4204.158       112 9     1487      TRUE  6.404362 4.067340e-02 2.423940e-02
j_group1b unequal -2029.831 4210.555        72 4      472      TRUE 12.800799 1.660894e-03 9.898133e-04
j_group2b unequal -2016.392 4212.453        85 6     1401      TRUE 14.699212 6.428455e-04 3.831052e-04
 a_group4 unequal -2024.767 4213.647        78 5      367      TRUE 15.893379 3.538315e-04 2.108667e-04
 j_group2 unequal -2041.812 4223.579        67 3      798      TRUE 25.825337 2.466603e-06 1.469977e-06
    smolt unequal -2047.357 4225.972        63 2      666      TRUE 28.217460 7.458583e-07 4.444959e-07
 a_group3 unequal -2042.020 4234.933        72 4      458      TRUE 37.178647 8.448108e-09 5.034669e-09
      run unequal -2052.046 4244.047        67 3      321      TRUE 46.292931 8.863757e-11 5.282375e-11
 a_group1 unequal -2062.774 4256.805        63 2      678      TRUE 59.050725 1.504174e-13 8.964158e-14
 a_group2 unequal -2058.884 4257.723        67 3      374      TRUE 59.968816 9.504672e-14 5.664330e-14
 j_group1 unequal -2067.824 4266.906        63 2      158      TRUE 69.151755 9.635788e-

 Mean Age
	    H       U   logLik      AICc num.param m num.iter converged deltaAICc     rel_like   aic_weight
j_group3b unequal 287.0162 -360.2535       100 8     1358      TRUE  0.000000 1.000000e+00 8.872833e-01
 j_group1 unequal 240.8406 -354.6552        61 2      211      TRUE  5.598220 6.086420e-02 5.400378e-02
j_group4b unequal 294.5796 -352.3871       110 9     1281      TRUE  7.866335 1.958155e-02 1.737438e-02
 j_group2 unequal 243.7894 -351.8626        65 3      732      TRUE  8.390837 1.506444e-02 1.336642e-02
j_group1b unequal 249.1117 -351.5791        70 4      478      TRUE  8.674358 1.307336e-02 1.159977e-02
 j_group4 unequal 255.3906 -350.9261        76 5      517      TRUE  9.327358 9.431699e-03 8.368589e-03
 j_group3 unequal 248.3543 -350.0642        70 4      473      TRUE 10.189227 6.129674e-03 5.438757e-03
j_group2b unequal 261.9811 -348.5596        83 6      547      TRUE 11.693834 2.888791e-03 2.563176e-03
 a_group3 unequal 240.1322 -333.6201        70 4      587      TRUE 26.633361 1.646794e-06 1.461173e-06
 a_group4 unequal 245.3975 -330.9400        76 5      406      TRUE 29.313458 4.311848e-07 3.825830e-07
 a_group2 unequal 224.2425 -312.7689        65 3      323      TRUE 47.484572 4.884906e-11 4.334296e-11
      run unequal 218.1310 -300.5457        65 3      797      TRUE 59.707738 1.083003e-13 9.609302e-14
 a_group1 unequal 211.3593 -295.6926        61 2      277      TRUE 64.560839 9.567355e-15 8.488954e-15
    smolt unequal 208.7821 -290.5382        61 2      353      TRUE 69.715225 7.269948e-16 6.450504e-16
